episode,Objective,Banana,Chicken
891,100,0,70
892,100,0,70
893,100,0,70
894,100,30,0
895,100,0,70
896,100,0,70
897,100,0,70
898,100,0,70
899,100,0,70
900,100,0,70
901,100,0,70
902,100,0,70
903,100,30,70
904,100,0,70
905,100,30,70
906,100,0,70
907,100,0,70
908,100,0,70
909,100,30,0
910,100,0,70
911,100,30,0
912,100,0,70
913,100,0,70
914,100,0,70
915,100,0,70
916,100,0,70
917,100,0,70
918,100,0,70
919,100,0,70
920,100,0,70
921,100,0,70
922,100,0,70
923,100,0,70
924,100,0,70
925,100,0,70
926,100,0,70
927,100,0,70
928,100,0,70
929,100,0,70
930,100,0,70
931,100,0,70
932,100,0,70
933,100,0,70
934,100,0,70
935,100,0,70
936,100,0,70
937,100,0,70
938,100,0,70
939,100,0,70
940,100,0,70
941,100,0,70
942,100,0,70
943,100,0,70
944,100,0,70
945,0,30,70
946,100,0,70
947,100,0,70
948,100,0,70
949,100,0,70
950,100,0,70
951,100,0,70
952,100,30,0
953,100,0,70
954,100,0,70
955,100,0,70
956,100,0,70
957,100,30,0
958,100,0,70
959,100,30,0
960,100,0,70
961,100,0,70
962,100,0,70
963,100,0,70
964,100,0,70
965,100,0,70
966,100,0,70
967,100,0,70
968,100,0,70
969,100,0,70
970,100,0,70
971,100,0,70
972,100,0,70
973,100,0,70
974,100,0,70
975,100,0,70
976,100,0,70
977,100,0,70
978,100,30,70
979,100,0,70
980,100,0,70
981,100,0,70
982,100,0,70
983,100,30,70
984,100,0,70
985,100,0,70
986,100,0,70
987,100,0,70
988,100,30,70
989,100,0,70
990,100,0,70
991,100,0,70
992,100,0,70
993,100,0,70
994,100,0,70
995,100,0,70
996,100,0,70
997,100,30,0
998,100,0,70
999,100,0,70
1000,100,0,70
1001,100,0,70
1002,100,30,70
1003,100,0,70
1004,100,0,70
1005,100,0,70
1006,100,0,70
1007,100,0,70
1008,100,30,0
1009,100,30,0
1010,100,0,70
1011,100,0,70
1012,100,0,70
1013,100,0,70
1014,100,0,70
1015,100,30,70
1016,100,30,70
1017,100,30,70
1018,100,30,70
1019,100,30,70
1020,100,30,70
1021,100,30,70
1022,100,30,70
1023,100,30,0
1024,100,30,70
1025,100,30,70
1026,100,0,70
1027,100,30,70
1028,100,0,70
1029,100,30,70
1030,100,30,70
1031,100,30,70
1032,100,30,70
1033,100,30,0
1034,100,30,70
1035,100,30,70
1036,100,30,70
1037,100,30,70
1038,100,30,70
1039,100,30,70
1040,100,30,70
1041,100,30,70
1042,100,30,70
1043,100,30,0
1044,100,30,70
1045,100,30,70
1046,100,30,70
1047,100,30,70
1048,100,30,70
1049,100,30,70
1050,100,30,70
1051,100,0,70
1052,100,30,70
1053,100,30,70
1054,100,30,70
1055,100,30,70
1056,100,30,70
1057,100,30,70
1058,100,30,70
1059,100,30,70
1060,100,30,70
1061,100,30,70
1062,100,0,70
1063,100,30,70
1064,100,30,70
1065,100,30,70
1066,100,30,70
1067,100,30,70
1068,100,30,70
1069,100,30,70
1070,100,30,70
1071,100,30,70
1072,100,30,70
1073,100,30,70
1074,100,30,70
1075,100,30,70
1076,100,30,70
1077,100,30,0
1078,100,30,70
1079,100,30,70
1080,100,30,70
1081,100,30,70
1082,100,30,70
1083,100,30,70
1084,100,30,70
1085,100,30,70
1086,100,30,70
1087,100,30,70
1088,100,30,70
1089,100,30,0
1090,100,30,70
1091,100,0,70
1092,100,30,70
1093,100,30,70
1094,100,30,70
1095,100,30,70
1096,100,30,70
1097,100,30,70
1098,100,30,70
1099,100,30,70
1100,100,30,70
1101,100,30,70
