_step,ep_info/Goal,seed,method
60194,-1,1787866265,Base SO RL
60372,0,1787866265,Base SO RL
60380,0,1787866265,Base SO RL
60419,0,1787866265,Base SO RL
60447,0,1787866265,Base SO RL
60491,0,1787866265,Base SO RL
60617,0,1787866265,Base SO RL
60625,0,1787866265,Base SO RL
60680,0,1787866265,Base SO RL
60780,0,1787866265,Base SO RL
60835,0,1787866265,Base SO RL
60855,0,1787866265,Base SO RL
61239,1,1787866265,Base SO RL
61255,0,1787866265,Base SO RL
61289,0,1787866265,Base SO RL
61300,0,1787866265,Base SO RL
61406,1,1787866265,Base SO RL
61572,0,1787866265,Base SO RL
61596,0,1787866265,Base SO RL
61619,0,1787866265,Base SO RL
61996,0,1787866265,Base SO RL
62016,1,1787866265,Base SO RL
62089,0,1787866265,Base SO RL
62416,0,1787866265,Base SO RL
62700,0,1787866265,Base SO RL
62772,0,1787866265,Base SO RL
62820,0,1787866265,Base SO RL
62891,0,1787866265,Base SO RL
62902,1,1787866265,Base SO RL
62917,0,1787866265,Base SO RL
63038,-1,1787866265,Base SO RL
63090,0,1787866265,Base SO RL
63100,0,1787866265,Base SO RL
63169,0,1787866265,Base SO RL
63219,0,1787866265,Base SO RL
63267,0,1787866265,Base SO RL
63406,0,1787866265,Base SO RL
63689,0,1787866265,Base SO RL
63691,0,1787866265,Base SO RL
63852,0,1787866265,Base SO RL
63901,1,1787866265,Base SO RL
63972,0,1787866265,Base SO RL
64067,0,1787866265,Base SO RL
64079,0,1787866265,Base SO RL
64091,0,1787866265,Base SO RL
64369,0,1787866265,Base SO RL
64447,0,1787866265,Base SO RL
64460,1,1787866265,Base SO RL
64489,0,1787866265,Base SO RL
64559,0,1787866265,Base SO RL
64659,-1,1787866265,Base SO RL
64746,1,1787866265,Base SO RL
64879,0,1787866265,Base SO RL
65101,0,1787866265,Base SO RL
65196,0,1787866265,Base SO RL
65359,0,1787866265,Base SO RL
65426,0,1787866265,Base SO RL
65470,0,1787866265,Base SO RL
65619,0,1787866265,Base SO RL
65763,0,1787866265,Base SO RL
65806,0,1787866265,Base SO RL
65901,0,1787866265,Base SO RL
65996,0,1787866265,Base SO RL
66055,0,1787866265,Base SO RL
66067,0,1787866265,Base SO RL
66079,0,1787866265,Base SO RL
66222,0,1787866265,Base SO RL
66301,0,1787866265,Base SO RL
66419,0,1787866265,Base SO RL
66455,0,1787866265,Base SO RL
66734,0,1787866265,Base SO RL
66819,0,1787866265,Base SO RL
66924,1,1787866265,Base SO RL
67042,-1,1787866265,Base SO RL
67135,0,1787866265,Base SO RL
67344,1,1787866265,Base SO RL
67422,0,1787866265,Base SO RL
67501,0,1787866265,Base SO RL
67534,0,1787866265,Base SO RL
67569,0,1787866265,Base SO RL
67691,0,1787866265,Base SO RL
67806,0,1787866265,Base SO RL
67822,0,1787866265,Base SO RL
67969,0,1787866265,Base SO RL
68163,0,1787866265,Base SO RL
68186,0,1787866265,Base SO RL
68234,-1,1787866265,Base SO RL
68252,0,1787866265,Base SO RL
68421,1,1787866265,Base SO RL
68447,0,1787866265,Base SO RL
68599,0,1787866265,Base SO RL
68634,0,1787866265,Base SO RL
68642,0,1787866265,Base SO RL
68758,0,1787866265,Base SO RL
68891,0,1787866265,Base SO RL
69119,0,1787866265,Base SO RL
69158,0,1787866265,Base SO RL
69247,0,1787866265,Base SO RL
69641,1,1787866265,Base SO RL
69813,1,1787866265,Base SO RL
69919,0,1787866265,Base SO RL
69924,1,1787866265,Base SO RL
69939,-1,1787866265,Base SO RL
70144,0,1787866265,Base SO RL
70234,0,1787866265,Base SO RL
70491,0,1787866265,Base SO RL
70598,0,1787866265,Base SO RL
70654,1,1787866265,Base SO RL
70909,0,1787866265,Base SO RL
70944,0,1787866265,Base SO RL
70981,0,1787866265,Base SO RL
71006,0,1787866265,Base SO RL
71095,1,1787866265,Base SO RL
71104,0,1787866265,Base SO RL
71124,0,1787866265,Base SO RL
71126,1,1787866265,Base SO RL
71135,0,1787866265,Base SO RL
71284,1,1787866265,Base SO RL
71355,-1,1787866265,Base SO RL
71398,0,1787866265,Base SO RL
71406,0,1787866265,Base SO RL
71535,0,1787866265,Base SO RL
71714,0,1787866265,Base SO RL
71798,0,1787866265,Base SO RL
71806,0,1787866265,Base SO RL
71904,0,1787866265,Base SO RL
72047,0,1787866265,Base SO RL
72084,0,1787866265,Base SO RL
72295,0,1787866265,Base SO RL
72324,0,1787866265,Base SO RL
72408,1,1787866265,Base SO RL
72514,0,1787866265,Base SO RL
72884,0,1787866265,Base SO RL
73126,0,1787866265,Base SO RL
73169,0,1787866265,Base SO RL
73190,0,1787866265,Base SO RL
73291,0,1787866265,Base SO RL
73342,1,1787866265,Base SO RL
73483,0,1787866265,Base SO RL
73495,0,1787866265,Base SO RL
73569,0,1787866265,Base SO RL
73622,0,1787866265,Base SO RL
73691,0,1787866265,Base SO RL
73755,0,1787866265,Base SO RL
73895,0,1787866265,Base SO RL
73904,0,1787866265,Base SO RL
73924,0,1787866265,Base SO RL
74009,0,1787866265,Base SO RL
74109,0,1787866265,Base SO RL
74130,1,1787866265,Base SO RL
74142,0,1787866265,Base SO RL
74155,0,1787866265,Base SO RL
74514,0,1787866265,Base SO RL
74542,0,1787866265,Base SO RL
74695,0,1787866265,Base SO RL
74704,0,1787866265,Base SO RL
75054,0,1787866265,Base SO RL
75124,0,1787866265,Base SO RL
75126,0,1787866265,Base SO RL
75129,0,1787866265,Base SO RL
75158,0,1787866265,Base SO RL
75190,0,1787866265,Base SO RL
75263,-1,1787866265,Base SO RL
75355,0,1787866265,Base SO RL
75483,0,1787866265,Base SO RL
75495,0,1787866265,Base SO RL
75663,0,1787866265,Base SO RL
75691,0,1787866265,Base SO RL
75851,0,1787866265,Base SO RL
76114,0,1787866265,Base SO RL
76326,0,1787866265,Base SO RL
76355,0,1787866265,Base SO RL
76455,1,1787866265,Base SO RL
76481,0,1787866265,Base SO RL
76802,0,1787866265,Base SO RL
76841,0,1787866265,Base SO RL
76881,0,1787866265,Base SO RL
76891,0,1787866265,Base SO RL
77190,0,1787866265,Base SO RL
77202,0,1787866265,Base SO RL
77263,0,1787866265,Base SO RL
77291,0,1787866265,Base SO RL
77590,0,1787866265,Base SO RL
77641,0,1787866265,Base SO RL
77911,0,1787866265,Base SO RL
78002,0,1787866265,Base SO RL
78311,0,1787866265,Base SO RL
78319,0,1787866265,Base SO RL
78441,0,1787866265,Base SO RL
78455,0,1787866265,Base SO RL
78580,0,1787866265,Base SO RL
78665,0,1787866265,Base SO RL
78719,0,1787866265,Base SO RL
78850,0,1787866265,Base SO RL
78909,0,1787866265,Base SO RL
79065,0,1787866265,Base SO RL
79255,0,1787866265,Base SO RL
79390,0,1787866265,Base SO RL
79472,0,1787866265,Base SO RL
79573,0,1787866265,Base SO RL
79650,0,1787866265,Base SO RL
79746,1,1787866265,Base SO RL
