_step,ep_info/Goal,seed,condition
124675,1,1778554757,nominal
124751,1,1778554757,nominal
124763,1,1778554757,nominal
124812,1,1778554757,nominal
124870,1,1778554757,nominal
124945,0,1778554757,nominal
125151,0,1778554757,nominal
125205,1,1778554757,nominal
125331,1,1778554757,nominal
125401,0,1778554757,nominal
125445,1,1778554757,nominal
125480,0,1778554757,nominal
125556,0,1778554757,nominal
125615,1,1778554757,nominal
125617,0,1778554757,nominal
125731,1,1778554757,nominal
125799,0,1778554757,nominal
126102,0,1778554757,nominal
126678,1,1778554757,nominal
126973,0,1778554757,nominal
127086,0,1778554757,nominal
127214,0,1778554757,nominal
127421,0,1778554757,nominal
127684,0,1778554757,nominal
127835,1,1778554757,nominal
128032,1,1778554757,nominal
128034,0,1778554757,nominal
128180,0,1778554757,nominal
128196,-1,1778554757,nominal
128286,0,1778554757,nominal
128403,1,1778554757,nominal
128437,1,1778554757,nominal
128490,1,1778554757,nominal
128500,1,1778554757,nominal
128686,0,1778554757,nominal
128734,0,1778554757,nominal
128761,1,1778554757,nominal
128890,0,1778554757,nominal
129045,1,1778554757,nominal
129389,1,1778554757,nominal
129445,0,1778554757,nominal
129510,1,1778554757,nominal
129532,0,1778554757,nominal
129637,0,1778554757,nominal
130157,-1,1778554757,nominal
130557,0,1778554757,nominal
130875,-1,1778554757,nominal
130977,0,1778554757,nominal
131153,1,1778554757,nominal
131462,0,1778554757,nominal
131491,0,1778554757,nominal
131610,1,1778554757,nominal
131912,1,1778554757,nominal
132012,1,1778554757,nominal
132315,-1,1778554757,nominal
132569,0,1778554757,nominal
133068,0,1778554757,nominal
133475,0,1778554757,nominal
133798,1,1778554757,nominal
133879,1,1778554757,nominal
133887,0,1778554757,nominal
134108,0,1778554757,nominal
134144,0,1778554757,nominal
134355,0,1778554757,nominal
134446,0,1778554757,nominal
134499,0,1778554757,nominal
134738,1,1778554757,nominal
134755,0,1778554757,nominal
135119,1,1778554757,nominal
135155,0,1778554757,nominal
135190,0,1778554757,nominal
135252,0,1778554757,nominal
135409,1,1778554757,nominal
135507,-1,1778554757,nominal
135612,1,1778554757,nominal
135619,1,1778554757,nominal
135633,0,1778554757,nominal
135670,1,1778554757,nominal
135937,0,1778554757,nominal
136033,0,1778554757,nominal
136065,1,1778554757,nominal
136634,1,1778554757,nominal
136984,1,1778554757,nominal
137001,0,1778554757,nominal
137044,1,1778554757,nominal
137103,1,1778554757,nominal
137391,0,1778554757,nominal
137697,0,1778554757,nominal
138209,0,1778554757,nominal
138210,1,1778554757,nominal
138390,-1,1778554757,nominal
138403,1,1778554757,nominal
138574,0,1778554757,nominal
138604,1,1778554757,nominal
138610,0,1778554757,nominal
138704,0,1778554757,nominal
138803,0,1778554757,nominal
138868,0,1778554757,nominal
138870,1,1778554757,nominal
138993,0,1778554757,nominal
139010,0,1778554757,nominal
139018,1,1778554757,nominal
139125,1,1778554757,nominal
139139,1,1778554757,nominal
139153,1,1778554757,nominal
