"Step","env: VSS_TUNED - ep_info/Goal","env: VSS_TUNED - ep_info/Goal__MIN","env: VSS_TUNED - ep_info/Goal__MAX"
"10238","0","0","0"
"10246","0","0","0"
"10247","0","0","0"
"10264","0","0","0"
"10271","0","0","0"
"10274","0","0","0"
"10299","0","0","0"
"10300","0","0","0"
"10301","0","0","0"
"10314","0","0","0"
"10340","0","0","0"
"10342","0","0","0"
"10346","0","0","0"
"10375","0","0","0"
"10378","0","0","0"
"10399","0","0","0"
"10406","0","0","0"
"10412","0","0","0"
"10424","0","0","0"
"10427","0","0","0"
"10430","0","0","0"
"10434","0","0","0"
"10437","0","0","0"
"10454","0","0","0"
"10457","0","0","0"
"10461","0","0","0"
"10473","0","0","0"
"10493","0","0","0"
"10494","0","0","0"
"10511","0","0","0"
"10526","1","1","1"
"10592","0","0","0"
"10602","0","0","0"
"10621","0","0","0"
"10632","0","0","0"
"10644","0","0","0"
"10646","0","0","0"
"10664","0","0","0"
"10678","0","0","0"
"10714","0","0","0"
"10735","0","0","0"
"10745","0","0","0"
"10755","0","0","0"
"10799","0","0","0"
"10812","0","0","0"
"10824","0","0","0"
"10827","0","0","0"
"10830","0","0","0"
"10834","0","0","0"
"10864","0","0","0"
"10911","0","0","0"
"10923","0","0","0"
"10936","0","0","0"
"10945","0","0","0"
"10952","0","0","0"
"10953","0","0","0"
"10966","0","0","0"
"10992","0","0","0"
"11038","0","0","0"
"11041","0","0","0"
"11044","0","0","0"
"11047","0","0","0"
"11054","0","0","0"
"11071","0","0","0"
"11086","-1","-1","-1"
"11142","0","0","0"
"11153","-1","-1","-1"
"11162","0","0","0"
"11178","0","0","0"
"11199","0","0","0"
"11206","0","0","0"
"11237","0","0","0"
"11246","0","0","0"
"11249","0","0","0"
"11274","0","0","0"
"11292","0","0","0"
"11293","0","0","0"
"11294","0","0","0"
"11319","0","0","0"
"11336","0","0","0"
"11345","0","0","0"
"11352","0","0","0"
"11392","0","0","0"
"11410","1","1","1"
"11423","0","0","0"
"11424","0","0","0"
"11448","0.5","0","1"
"11454","0","0","0"
"11474","0","0","0"
"11478","0","0","0"
"11486","0","0","0"
"11499","0","0","0"
"11501","0","0","0"
"11514","0","0","0"
"11540","0","0","0"
"11545","0","0","0"
"11562","0","0","0"
"11567","0","0","0"
"11568","0","0","0"
"11575","0","0","0"
"11599","0","0","0"
"11601","0","0","0"
"11606","0","0","0"
"11607","0","0","0"
"11612","0","0","0"
"11624","0","0","0"
"11630","0","0","0"
"11649","0","0","0"
"11654","0","0","0"
"11673","0","0","0"
"11674","0","0","0"
"11689","0","0","0"
"11693","0","0","0"
"11723","0","0","0"
"11753","0","0","0"
"11766","0","0","0"
"11780","0","0","0"
"11783","0","0","0"
"11793","0","0","0"
"11802","0","0","0"
"11821","0","0","0"
"11824","0","0","0"
"11847","0","0","0"
"11864","0","0","0"
"11869","0","0","0"
"11915","0","0","0"
"11917","0","0","0"
"11935","0","0","0"
"11940","0","0","0"
"11944","-1","-1","-1"
"11945","0","0","0"
"11967","0","0","0"
"11968","0","0","0"
"11975","0","0","0"
"11984","0","0","0"
"11999","0","0","0"
"12001","0","0","0"
"12024","0","0","0"
"12034","0","0","0"
"12061","0","0","0"
"12065","0","0","0"
"12073","0","0","0"
"12074","0","0","0"
"12093","0","0","0"
"12094","0","0","0"
"12123","0","0","0"
"12126","0","0","0"
"12182","0","0","0"
"12192","0","0","0"
"12206","0","0","0"
"12207","0","0","0"
"12221","0","0","0"
"12223","0","0","0"
"12241","0","0","0"
"12244","0","0","0"
"12246","0","0","0"
"12247","0","0","0"
"12248","0","0","0"
"12285","1","1","1"
"12301","0","0","0"
"12317","0","0","0"
"12328","0","0","0"
"12333","0","0","0"
"12335","0","0","0"
"12340","0","0","0"
"12375","0","0","0"
"12378","0","0","0"
"12399","0","0","0"
"12401","0","0","0"
"12411","0","0","0"
"12412","0","0","0"
"12437","0","0","0"
"12461","0","0","0"
"12464","0","0","0"
"12493","0","0","0"
"12511","0","0","0"
"12526","0","0","0"
"12528","0","0","0"
"12552","1","1","1"
"12572","0","0","0"
"12599","-1","-1","-1"
"12607","0","0","0"
"12623","0","0","0"
"12644","0","0","0"
"12654","0","0","0"
"12669","0","0","0"
"12699","0","0","0"
"12717","0","0","0"
"12733","0","0","0"
"12735","0","0","0"
"12740","0","0","0"
"12768","0","0","0"
"12778","0","0","0"
"12799","0","0","0"
"12812","0","0","0"
"12824","0","0","0"
"12830","0","0","0"
"12838","0","0","0"
"12861","0","0","0"
"12864","0","0","0"
"12873","0","0","0"
"12874","0","0","0"
"12886","1","1","1"
"12928","0","0","0"
"12951","0","0","0"
"12971","0","0","0"
"12980","0","0","0"
"12992","0","0","0"
"13007","0","0","0"
"13041","0","0","0"
"13048","0","0","0"
"13054","0","0","0"
"13067","0","0","0"
"13075","0","0","0"
"13085","0","0","0"
"13086","0","0","0"
"13094","0","0","0"
"13120","0","0","0"
"13128","0","0","0"
"13142","0","0","0"
"13144","0","0","0"
"13168","0","0","0"
"13169","0","0","0"
"13184","0","0","0"
"13206","0","0","0"
"13207","0","0","0"
"13224","0","0","0"
"13227","0","0","0"
"13274","0","0","0"
"13311","0","0","0"
"13328","0","0","0"
"13348","0","0","0"
"13350","0","0","0"
"13352","0","0","0"
"13366","0","0","0"
"13370","0","0","0"
"13371","0","0","0"
"13372","0","0","0"
"13380","0","0","0"
"13406","0","0","0"
"13407","0","0","0"
"13423","0","0","0"
"13448","0","0","0"
