"Step","env: ROBUSTNESS_TEST1 - ep_info/Goal","env: ROBUSTNESS_TEST1 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST1 - ep_info/Goal__MAX"
"24738","0","0","0"
"24767","0","0","0"
"24873","0","0","0"
"24877","0","0","0"
"24878","0","0","0"
"24902","0","0","0"
"24912","0","0","0"
"24931","0","0","0"
"24951","0","0","0"
"24979","0","0","0"
"24983","0","0","0"
"24987","0","0","0"
"25000","0","0","0"
"25028","0","0","0"
"25050","0","0","0"
"25051","-1","-1","-1"
"25062","0","0","0"
"25067","0","0","0"
"25074","0","0","0"
"25076","0","0","0"
"25118","0","0","0"
"25135","0","0","0"
"25138","0","0","0"
"25145","0","0","0"
"25147","0","0","0"
"25157","0","0","0"
"25176","0","0","0"
"25199","0","0","0"
"25218","0","0","0"
"25224","0","0","0"
"25235","0","0","0"
"25243","0","0","0"
"25279","0","0","0"
"25307","0","0","0"
"25327","0","0","0"
"25363","0","0","0"
"25379","0","0","0"
"25405","0","0","0"
"25425","0","0","0"
"25428","0","0","0"
"25529","0","0","0"
"25533","0","0","0"
"25540","0","0","0"
"25547","0","0","0"
"25557","0","0","0"
"25561","0","0","0"
"25564","-1","-1","-1"
"25605","0","0","0"
"25678","0","0","0"
"25732","0","0","0"
"25779","0","0","0"
"25792","0","0","0"
"25795","0","0","0"
"25814","0","0","0"
"25848","0","0","0"
"25876","0","0","0"
"25889","0","0","0"
"25905","0","0","0"
"25918","0","0","0"
"25933","-1","-1","-1"
"25935","0.5","0","1"
"25940","0","0","0"
"25947","0","0","0"
"25957","0","0","0"
"25961","0","0","0"
"25994","1","1","1"
"25999","0","0","0"
"26048","0","0","0"
"26058","1","1","1"
"26079","0","0","0"
"26102","0","0","0"
"26132","0","0","0"
"26200","0","0","0"
"26201","0","0","0"
"26202","0","0","0"
"26209","0","0","0"
"26251","0","0","0"
"26255","0","0","0"
"26267","0","0","0"
"26289","0","0","0"
"26335","0","0","0"
"26340","0","0","0"
"26347","0","0","0"
"26361","0","0","0"
"26376","0","0","0"
"26395","0","0","0"
"26399","0","0","0"
"26418","0","0","0"
"26435","0","0","0"
"26462","0","0","0"
"26473","0","0","0"
"26477","0","0","0"
"26487","0","0","0"
"26508","0","0","0"
"26556","0","0","0"
"26564","0","0","0"
"26662","0","0","0"
"26676","0","0","0"
"26682","-1","-1","-1"
"26729","0","0","0"
"26735","0","0","0"
"26738","0","0","0"
"26757","0","0","0"
"26794","0","0","0"
"26799","0","0","0"
"26800","0","0","0"
"26832","0","0","0"
"26833","0","0","0"
"26876","-1","-1","-1"
"26886","0","0","0"
"26927","0","0","0"
"26932","0","0","0"
"26995","0","0","0"
"27000","0","0","0"
"27001","0","0","0"
"27009","0","0","0"
"27023","0","0","0"
"27025","0","0","0"
"27038","1","1","1"
"27042","0","0","0"
"27050","0","0","0"
"27077","0","0","0"
"27082","0","0","0"
"27090","-1","-1","-1"
"27098","0","0","0"
"27124","0","0","0"
"27129","0","0","0"
"27133","0","0","0"
"27146","0","0","0"
"27147","0","0","0"
"27194","0","0","0"
"27199","0","0","0"
"27205","0","0","0"
"27235","0","0","0"
"27236","0","0","0"
"27279","0","0","0"
"27287","0","0","0"
"27307","0","0","0"
"27363","0","0","0"
"27400","0","0","0"
"27402","0","0","0"
"27405","0","0","0"
"27428","0","0","0"
"27455","0","0","0"
"27462","0","0","0"
"27465","0","0","0"
"27477","0","0","0"
"27490","0","0","0"
"27516","0","0","0"
"27533","0","0","0"
"27535","0","0","0"
"27556","1","1","1"
"27561","0","0","0"
"27564","0","0","0"
"27572","0","0","0"
"27594","0","0","0"
"27595","0","0","0"
"27600","0","0","0"
"27620","1","1","1"
"27632","0","0","0"
