"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"750","-1","-1","-1"
"751","-1","-1","-1"
"752","-1","-1","-1"
"754","-1","-1","-1"
"755","-1","-1","-1"
"756","-1","-1","-1"
"757","-1","-1","-1"
"759","-1","-1","-1"
"761","-1","-1","-1"
"763","-1","-1","-1"
"764","-1","-1","-1"
"765","-1","-1","-1"
"766","-1","-1","-1"
"767","-1","-1","-1"
"770","-1","-1","-1"
"772","-1","-1","-1"
"774","-1","-1","-1"
"775","-1","-1","-1"
"776","-1","-1","-1"
"777","-1","-1","-1"
"780","-1","-1","-1"
"782","-1","-1","-1"
"783","-1","-1","-1"
"784","-1","-1","-1"
"789","-1","-1","-1"
"790","-1","-1","-1"
"792","-1","-1","-1"
"795","-1","-1","-1"
"796","-1","-1","-1"
"799","-1","-1","-1"
"801","-1","-1","-1"
"804","-1","-1","-1"
"805","-1","-1","-1"
"806","-1","-1","-1"
"807","-1","-1","-1"
"811","-1","-1","-1"
"812","-1","-1","-1"
"813","-1","-1","-1"
"814","-1","-1","-1"
"815","-1","-1","-1"
"817","-1","-1","-1"
"818","-1","-1","-1"
"819","-1","-1","-1"
"820","-1","-1","-1"
"821","-1","-1","-1"
"825","-1","-1","-1"
"826","-1","-1","-1"
"827","-1","-1","-1"
"828","-1","-1","-1"
"829","-1","-1","-1"
"830","-1","-1","-1"
"834","-1","-1","-1"
"836","-1","-1","-1"
"837","-1","-1","-1"
"838","-1","-1","-1"
"840","-1","-1","-1"
"842","-1","-1","-1"
"843","-1","-1","-1"
"844","-1","-1","-1"
"845","-1","-1","-1"
"846","-1","-1","-1"
"847","-1","-1","-1"
"848","-1","-1","-1"
"849","-1","-1","-1"
"850","-1","-1","-1"
"851","-1","-1","-1"
"852","-1","-1","-1"
"853","-1","-1","-1"
"854","-1","-1","-1"
"855","-1","-1","-1"
"858","-1","-1","-1"
"861","-1","-1","-1"
"862","-1","-1","-1"
"864","-1","-1","-1"
"865","-1","-1","-1"
"866","-1","-1","-1"
"869","-1","-1","-1"
"870","-1","-1","-1"
"873","-1","-1","-1"
"874","-1","-1","-1"
