"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"1607","-84","-85","-83"
"1608","-56","-63","-49"
"1610","-50","-50","-50"
"1611","-52","-52","-52"
"1612","-75","-75","-75"
"1613","-59","-59","-59"
"1614","-56","-56","-56"
"1615","-57","-57","-57"
"1620","-48","-48","-48"
"1624","-78","-78","-78"
"1630","-76","-76","-76"
"1633","-63","-74","-52"
"1635","-55","-56","-54"
"1639","-51.5","-52","-51"
"1640","-69","-69","-69"
"1642","-105","-105","-105"
"1644","-59","-59","-59"
"1653","-67","-67","-67"
"1658","-57","-57","-57"
"1661","-85","-85","-85"
"1665","-55","-55","-55"
"1669","-56.5","-59","-54"
"1670","-61","-65","-57"
"1671","-76","-76","-76"
"1673","-110","-110","-110"
"1677","-77","-77","-77"
"1678","-68","-68","-68"
"1679","-64","-64","-64"
"1685","-80","-80","-80"
"1687","-99","-99","-99"
"1695","-61","-61","-61"
"1696","-79","-79","-79"
"1697","-55","-55","-55"
"1698","-49","-49","-49"
"1699","-74.5","-87","-62"
"1702","-64","-64","-64"
"1703","-71.5","-77","-66"
"1705","-69","-69","-69"
"1707","-84","-84","-84"
"1708","-53","-53","-53"
"1717","-72","-72","-72"
"1718","-75","-75","-75"
"1722","-76","-103","-49"
"1724","-52","-52","-52"
"1727","-55","-55","-55"
"1728","-52","-52","-52"
"1730","-88","-88","-88"
"1740","-78","-78","-78"
"1742","-78","-78","-78"
"1750","-78","-78","-78"
"1751","-63","-77","-49"
"1753","-80","-80","-80"
"1754","-77.5","-81","-74"
"1755","-83","-83","-83"
"1760","-78","-78","-78"
"1762","-54","-54","-54"
"1763","-57","-57","-57"
"1765","-64","-64","-64"
"1766","-54","-54","-54"
"1767","-67","-67","-67"
"1771","-61","-61","-61"
"1773","-74","-74","-74"
"1778","-70","-70","-70"
"1780","-91","-91","-91"
"1784","-59","-59","-59"
"1785","-55","-55","-55"
"1791","-60","-60","-60"
"1792","-66","-66","-66"
"1794","-50","-50","-50"
"1796","-69","-69","-69"
"1800","-82","-82","-82"
"1805","-68","-84","-52"
"1809","-55","-55","-55"
"1812","-54","-54","-54"
"1818","-64","-64","-64"
"1820","-83","-88","-78"
"1822","-54","-54","-54"
"1823","-53","-53","-53"
"1825","-72","-82","-62"
"1827","-68","-68","-68"
"1830","-78","-78","-78"
"1833","-69","-69","-69"
"1834","-71","-71","-71"
"1837","-67","-71","-63"
"1839","-55","-55","-55"
