"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"711","-43","-43","-43"
"714","-75","-75","-75"
"717","-51.5","-58","-45"
"718","-29","-52","-6"
"720","-46","-46","-46"
"721","-2","-2","-2"
"722","-50","-50","-50"
"725","-66","-66","-66"
"726","-48","-48","-48"
"727","-65","-65","-65"
"728","-3","-3","-3"
"729","-63","-63","-63"
"731","-50","-50","-50"
"734","-26.5","-48","-5"
"735","-38.5","-75","-2"
"737","-57.5","-58","-57"
"738","-53","-53","-53"
"741","-68","-68","-68"
"742","-26.5","-51","-2"
"743","-51.5","-54","-49"
"744","-49","-49","-49"
"745","-55.5","-67","-44"
"746","-49","-49","-49"
"748","-123","-123","-123"
"750","-57","-57","-57"
"751","-11","-11","-11"
"752","-46","-46","-46"
"754","-3","-3","-3"
"755","-5","-5","-5"
"756","0","0","0"
"757","-3","-3","-3"
"759","-74","-74","-74"
"761","-64","-75","-53"
"763","-18.333333333333332","-49","-2"
"764","-35.666666666666664","-62","-1"
"765","-8","-8","-8"
"766","-41","-41","-41"
"767","-75","-75","-75"
"770","-49","-49","-49"
"772","-70","-70","-70"
"774","-60","-60","-60"
"775","-26.5","-52","-1"
"776","-69","-73","-65"
"777","-49","-49","-49"
"780","-51","-51","-51"
"782","-48","-48","-48"
"783","-53.5","-60","-47"
"784","-38.5","-68","-9"
"789","-105","-136","-74"
"790","-71","-71","-71"
"792","-47","-47","-47"
"795","-48.5","-50","-47"
"796","-50","-50","-50"
"799","-54","-54","-54"
"801","-5","-5","-5"
"804","-4","-4","-4"
"805","-38","-72","-4"
"806","-55","-55","-55"
"807","-25.666666666666668","-69","-2"
"811","-8","-8","-8"
"812","-31.5","-61","-2"
"813","-7","-7","-7"
"814","-65.66666666666667","-83","-46"
"815","-77","-77","-77"
"817","-58","-67","-49"
"818","-31.5","-62","-1"
"819","-22.25","-80","-2"
"820","-27","-52","-2"
"821","-40.5","-72","-9"
"825","-59","-59","-59"
"826","-2","-2","-2"
"827","-6","-6","-6"
"828","-48","-48","-48"
"829","-50","-50","-50"
"830","-11","-11","-11"
"834","-64","-64","-64"
"836","-76","-76","-76"
"837","-59","-59","-59"
"838","-52","-52","-52"
"840","-62","-62","-62"
"842","-44","-44","-44"
"843","-48","-50","-46"
"844","-40.5","-80","-1"
"845","-45","-45","-45"
"846","-3","-3","-3"
"847","-6","-6","-6"
"848","-56","-56","-56"
"849","-58.5","-63","-54"
"850","-57","-57","-57"
"851","-48","-48","-48"
"852","-35","-52","-2"
"853","-65","-65","-65"
"854","-2","-2","-2"
"855","-1","-1","-1"
"858","-81","-81","-81"
"861","-63","-63","-63"
"862","-32.5","-52","-13"
"864","-56","-56","-56"
"865","-2","-2","-2"
"866","-48","-48","-48"
"869","-46","-46","-46"
"870","-56","-56","-56"
"873","-1","-1","-1"
"874","-54","-54","-54"
"875","-64","-64","-64"
"876","-59.5","-61","-58"
"878","-40","-55","-4"
"879","-49.5","-51","-48"
"880","-2","-2","-2"
"883","-84","-84","-84"
"887","-5","-5","-5"
"890","-49.5","-50","-49"
"891","-1","-1","-1"
"892","-75","-75","-75"
"894","-74","-74","-74"
"895","-74","-74","-74"
"896","-2","-2","-2"
"897","-47","-47","-47"
"898","-32.5","-61","-4"
"899","-61","-61","-61"
"900","-36","-68","-4"
"902","-44","-86","-2"
"904","-4","-4","-4"
"905","-4","-4","-4"
"906","-4","-4","-4"
"907","-4","-4","-4"
"908","-47","-47","-47"
"909","-43.666666666666664","-65","-2"
"910","-101","-101","-101"
"912","-55","-55","-55"
"914","-2","-2","-2"
"916","-57.5","-66","-49"
"917","-57","-57","-57"
"923","-63.666666666666664","-73","-46"
"925","-46","-46","-46"
"927","-59","-59","-59"
"928","-46.5","-89","-4"
"930","-52","-52","-52"
"931","-45","-45","-45"
"932","-79","-79","-79"
"933","-54","-54","-54"
"934","-54","-54","-54"
"935","-58.5","-63","-54"
"936","-56","-61","-51"
"937","-44.5","-82","-7"
"942","-68","-75","-61"
"943","-2","-2","-2"
"946","-68","-68","-68"
"948","-2.5","-4","-1"
"949","-22.5","-42","-3"
"950","-51","-55","-47"
"951","-71","-71","-71"
"952","-48","-48","-48"
"953","-35","-57","0"
"955","-53","-53","-53"
"957","-54","-54","-54"
"958","-45","-72","0"
"959","-1","-1","-1"
"961","-2.5","-4","-1"
"962","-1","-1","-1"
"965","-52","-52","-52"
"966","-56","-56","-56"
"968","-1","-1","-1"
"969","-12","-12","-12"
"970","-2","-2","-2"
"971","-2","-2","-2"
"972","-51","-53","-49"
"973","-46","-46","-46"
"974","-49","-49","-49"
"975","-56","-56","-56"
"976","-6","-6","-6"
"977","-1","-1","-1"
"978","-76","-76","-76"
"979","-2","-2","-2"
"981","-62.5","-79","-46"
"982","-47","-47","-47"
"983","-64","-64","-64"
"984","-51","-51","-51"
"988","-76","-76","-76"
"989","-21.666666666666668","-59","0"
"990","-52.5","-55","-50"
"992","-47","-47","-47"
"993","-77","-77","-77"
"997","-6.5","-11","-2"
"1001","-1","-1","-1"
"1003","-55.5","-65","-46"
"1004","-63.333333333333336","-78","-54"
"1005","-59.5","-67","-52"
"1006","-82","-82","-82"
"1008","0","0","0"
"1009","-51","-51","-51"
"1010","-69","-69","-69"
"1011","-71","-71","-71"
"1012","-54","-54","-54"
"1013","-28","-55","-1"
"1014","-55","-55","-55"
"1015","-61","-61","-61"
"1016","-48","-48","-48"
"1017","-1","-1","-1"
"1020","-52","-52","-52"
"1021","-53","-53","-53"
"1023","-25.5","-49","-2"
"1025","-44.666666666666664","-79","-6"
"1026","-26.5","-50","-3"
"1028","-8","-8","-8"
"1032","-25","-50","0"
"1033","-2","-2","-2"
"1035","-78","-78","-78"
"1036","0","0","0"
"1039","-67.5","-78","-57"
"1042","-45","-45","-45"
"1043","-1","-1","-1"
"1044","-49","-49","-49"
"1045","-53","-53","-53"
"1046","-62","-62","-62"
"1048","-3","-3","-3"
"1051","-22.666666666666668","-64","-1"
"1052","-3.5","-5","-2"
"1054","-74","-74","-74"
"1055","-63","-63","-63"
"1056","-50","-50","-50"
"1057","-2","-2","-2"
"1058","-27","-52","-2"
"1059","-27","-53","-1"
"1060","-54","-54","-54"
"1063","-46","-46","-46"
"1066","-51","-51","-51"
"1069","-64","-64","-64"
"1070","-51.5","-56","-47"
"1073","-29.5","-58","-1"
"1074","-84","-84","-84"
"1075","0","0","0"
"1077","-46","-46","-46"
"1078","-71","-71","-71"
"1079","-38.5","-72","-5"
"1080","-29.5","-48","-11"
"1081","-54","-54","-54"
"1084","-23.5","-47","0"
"1085","-60","-60","-60"
"1086","-47","-47","-47"
"1087","-63","-63","-63"
"1089","-82","-82","-82"
"1090","-37","-74","0"
"1091","-70","-88","-52"
"1092","-5","-5","-5"
"1094","-24","-46","-2"
"1095","-8","-8","-8"
"1096","-79","-79","-79"
