"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"1138","-1","-1","-1"
"1143","-1","-1","-1"
"1144","-1","-1","-1"
"1146","-1","-1","-1"
"1147","-1","-1","-1"
"1148","-1","-1","-1"
"1149","-1","-1","-1"
"1150","-1","-1","-1"
"1154","-1","-1","-1"
"1156","-1","-1","-1"
"1157","-1","-1","-1"
"1160","-1","-1","-1"
"1161","-1","-1","-1"
"1166","-1","-1","-1"
"1168","-1","-1","-1"
"1169","-1","-1","-1"
"1170","-1","-1","-1"
"1171","-1","-1","-1"
"1173","-1","-1","-1"
"1174","-1","-1","-1"
"1179","-1","-1","-1"
"1184","-1","-1","-1"
"1186","-1","-1","-1"
"1188","-1","-1","-1"
"1190","-1","-1","-1"
"1191","-1","-1","-1"
"1193","-1","-1","-1"
"1196","-1","-1","-1"
"1202","-1","-1","-1"
"1203","-1","-1","-1"
"1205","-1","-1","-1"
"1206","-1","-1","-1"
"1207","-1","-1","-1"
"1208","-1","-1","-1"
"1209","-1","-1","-1"
"1210","-1","-1","-1"
"1211","-1","-1","-1"
"1213","-1","-1","-1"
"1214","-1","-1","-1"
"1216","-1","-1","-1"
"1219","-1","-1","-1"
"1220","-1","-1","-1"
"1221","-1","-1","-1"
"1223","-1","-1","-1"
"1224","-1","-1","-1"
"1225","-1","-1","-1"
"1227","-1","-1","-1"
"1228","-1","-1","-1"
"1230","-1","-1","-1"
"1231","-1","-1","-1"
"1235","-1","-1","-1"
"1236","-1","-1","-1"
"1237","-1","-1","-1"
"1238","-1","-1","-1"
"1240","-1","-1","-1"
"1242","-1","-1","-1"
"1243","-1","-1","-1"
"1245","-1","-1","-1"
"1246","-1","-1","-1"
"1247","-1","-1","-1"
"1249","-1","-1","-1"
"1251","-1","-1","-1"
"1253","-1","-1","-1"
"1254","-1","-1","-1"
"1257","-1","-1","-1"
"1261","-1","-1","-1"
"1263","-1","-1","-1"
"1264","-1","-1","-1"
"1266","-1","-1","-1"
"1267","-1","-1","-1"
"1269","-1","-1","-1"
"1273","-1","-1","-1"
"1276","-1","-1","-1"
"1278","-1","-1","-1"
"1281","-1","-1","-1"
"1284","-1","-1","-1"
"1285","-1","-1","-1"
"1286","-1","-1","-1"
"1287","-1","-1","-1"
"1289","-1","-1","-1"
"1292","-1","-1","-1"
"1294","-1","-1","-1"
"1295","-1","-1","-1"
"1298","-1","-1","-1"
"1301","-1","-1","-1"
"1302","-1","-1","-1"
