"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"1276","-58","-58","-58"
"1278","-1","-1","-1"
"1279","-52","-102","-2"
"1280","-6.5","-9","-4"
"1281","-2","-2","-2"
"1283","-30","-30","-30"
"1284","-2","-2","-2"
"1285","-62","-62","-62"
"1286","-49","-49","-49"
"1287","-26.8","-60","-1"
"1288","-27.666666666666668","-49","-2"
"1289","-1","-1","-1"
"1291","-25.666666666666668","-53","-3"
"1293","-54","-54","-54"
"1294","-2","-2","-2"
"1295","-5.333333333333333","-12","-2"
"1296","-59","-59","-59"
"1297","-51","-63","-39"
"1299","0","0","0"
"1300","-30.5","-36","-25"
"1301","-58","-67","-49"
"1304","-2","-2","-2"
"1305","-29.25","-61","-2"
"1307","-29","-29","-29"
"1308","-3","-3","-3"
"1309","-63","-63","-63"
"1311","-45","-45","-45"
"1312","-40.5","-54","-27"
"1313","-58","-58","-58"
"1314","-49.5","-74","-25"
"1315","0","0","0"
"1317","0","0","0"
"1318","-4","-4","-4"
"1319","-16","-30","-2"
"1322","-3","-3","-3"
"1323","-26","-26","-26"
"1325","-52.5","-71","-34"
"1327","-78","-78","-78"
"1328","-34","-34","-34"
"1330","-53","-53","-53"
"1331","-2.5","-3","-2"
"1332","-62","-62","-62"
"1333","-4","-4","-4"
"1334","-49","-49","-49"
"1335","-77","-77","-77"
"1338","-61","-61","-61"
"1339","0","0","0"
"1340","-47","-66","-28"
"1342","-14","-37","0"
"1344","-68","-68","-68"
"1346","-18.5","-34","-3"
"1347","-22","-22","-22"
"1348","-13.25","-49","0"
"1349","-71","-71","-71"
"1350","0","0","0"
"1351","-5","-5","-5"
"1352","-25","-25","-25"
"1353","-2","-2","-2"
"1357","-20.5","-36","-5"
"1358","-33","-72","-2"
"1359","-42","-63","0"
"1360","-21.25","-50","0"
"1361","-3","-3","-3"
"1362","-56","-58","-54"
"1363","-5","-5","-5"
"1364","-1","-1","-1"
"1365","-33","-33","-33"
"1368","-48","-48","-48"
"1371","-2.5","-3","-2"
"1372","-13.666666666666666","-37","-1"
"1374","-51","-51","-51"
"1375","-0.5","-1","0"
"1376","-85","-85","-85"
"1377","-4.5","-7","-2"
"1378","-37","-73","-1"
"1379","-29","-29","-29"
"1380","-40","-51","-29"
"1381","0","0","0"
"1382","-28","-28","-28"
"1383","-1","-1","-1"
"1384","-26","-26","-26"
"1385","-50","-50","-50"
"1389","0","0","0"
"1390","-3","-3","-3"
"1392","-20.5","-39","-2"
"1396","-1","-1","-1"
"1399","-47.5","-65","-30"
"1401","-1","-1","-1"
"1402","-40","-51","-29"
"1404","-1","-2","0"
"1405","-2.5","-4","-1"
"1407","-14.5","-27","-2"
"1408","-1","-1","-1"
"1409","-67","-72","-62"
"1410","-7","-7","-7"
"1412","-55.5","-60","-51"
"1413","-65.5","-81","-50"
"1414","-41","-41","-41"
"1415","-56","-56","-56"
"1416","-54","-54","-54"
"1417","-41.5","-53","-30"
"1419","-1","-2","0"
"1420","-33","-37","-29"
"1421","-1","-1","-1"
"1424","-31","-31","-31"
"1425","-13.5","-26","-1"
"1427","-29","-29","-29"
"1428","-3","-3","-3"
"1429","-85","-85","-85"
"1430","-40","-48","-32"
"1432","-22.5","-44","-1"
"1433","-17.5","-33","-2"
"1436","-1","-1","-1"
"1437","-8","-19","-2"
"1439","-54","-54","-54"
"1441","-72","-72","-72"
"1443","-26","-62","-1"
"1444","-4.5","-8","-1"
"1446","-14","-21","-7"
"1447","-35","-35","-35"
"1449","-35.333333333333336","-86","-2"
"1450","-50","-50","-50"
"1451","-58","-58","-58"
"1453","-52","-52","-52"
"1456","-53","-53","-53"
"1457","-45.5","-90","-1"
"1458","-64","-79","-49"
"1459","-5","-5","-5"
"1462","-26","-52","0"
"1463","-29","-29","-29"
"1464","-34","-67","-1"
"1465","0","0","0"
"1466","-39","-48","-30"
"1467","-28","-48","-8"
"1468","-62.5","-82","-43"
"1469","-2","-2","-2"
"1471","-22.333333333333332","-56","-3"
"1472","-56","-56","-56"
"1473","-2","-2","-2"
