"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1175","42","0","70"
"1176","42","0","70"
"1177","42","0","70"
"1178","42","0","70"
"1179","42","0","70"
"1180","42","0","70"
"1181","42","0","70"
"1182","56","0","70"
"1183","49","0","70"
"1184","42","0","70"
"1185","35","0","70"
"1186","42","0","70"
"1187","42","0","70"
"1188","42","0","70"
"1189","42","0","70"
"1190","49","0","70"
"1191","42","0","70"
"1192","49","0","70"
"1193","35","0","70"
"1194","49","0","70"
"1195","49","0","70"
"1196","49","0","70"
"1197","49","0","70"
"1198","49","0","70"
"1199","49","0","70"
"1200","56","0","70"
"1201","49","0","70"
"1202","49","0","70"
"1203","49","0","70"
"1204","49","0","70"
"1205","49","0","70"
"1206","49","0","70"
"1207","42","0","70"
"1208","42","0","70"
"1209","56","0","70"
"1210","56","0","70"
"1211","56","0","70"
"1212","56","0","70"
"1213","56","0","70"
"1214","56","0","70"
"1215","49","0","70"
"1216","49","0","70"
"1217","49","0","70"
"1218","49","0","70"
"1219","49","0","70"
"1220","49","0","70"
"1221","49","0","70"
"1222","42","0","70"
"1223","49","0","70"
"1224","49","0","70"
"1225","49","0","70"
"1226","49","0","70"
"1227","49","0","70"
"1228","49","0","70"
"1229","49","0","70"
"1230","49","0","70"
"1231","49","0","70"
"1232","49","0","70"
"1233","49","0","70"
"1234","49","0","70"
"1235","49","0","70"
"1236","49","0","70"
"1237","49","0","70"
"1238","49","0","70"
"1239","49","0","70"
"1240","49","0","70"
"1241","49","0","70"
"1242","49","0","70"
"1243","49","0","70"
"1244","49","0","70"
"1245","49","0","70"
"1246","49","0","70"
"1247","49","0","70"
"1248","49","0","70"
"1249","49","0","70"
"1250","49","0","70"
"1251","49","0","70"
"1252","49","0","70"
"1253","42","0","70"
"1254","49","0","70"
"1255","49","0","70"
"1256","49","0","70"
"1257","49","0","70"
"1258","49","0","70"
"1259","49","0","70"
"1260","49","0","70"
"1261","49","0","70"
"1262","49","0","70"
"1263","49","0","70"
"1264","49","0","70"
"1265","42","0","70"
"1266","49","0","70"
"1267","49","0","70"
"1268","49","0","70"
"1269","49","0","70"
"1270","49","0","70"
"1271","49","0","70"
"1272","49","0","70"
"1273","49","0","70"
"1274","49","0","70"
"1275","49","0","70"
"1276","49","0","70"
"1277","35","0","70"
"1278","49","0","70"
"1279","49","0","70"
"1280","49","0","70"
"1281","49","0","70"
"1282","42","0","70"
"1283","42","0","70"
"1284","42","0","70"
"1285","42","0","70"
"1286","42","0","70"
"1287","42","0","70"
"1288","42","0","70"
"1289","42","0","70"
"1290","42","0","70"
"1291","42","0","70"
"1292","42","0","70"
"1293","42","0","70"
"1294","42","0","70"
"1295","42","0","70"
"1296","35","0","70"
"1297","42","0","70"
"1298","42","0","70"
"1299","42","0","70"
"1300","49","0","70"
"1301","42","0","70"
"1302","49","0","70"
"1303","56","0","70"
"1304","56","0","70"
"1305","56","0","70"
"1306","49","0","70"
"1307","49","0","70"
"1308","49","0","70"
"1309","56","0","70"
"1310","42","0","70"
"1311","49","0","70"
"1312","42","0","70"
"1313","49","0","70"
"1314","49","0","70"
"1315","49","0","70"
"1316","49","0","70"
"1317","49","0","70"
"1318","42","0","70"
"1319","49","0","70"
"1320","49","0","70"
"1321","56","0","70"
"1322","56","0","70"
"1323","56","0","70"
"1324","49","0","70"
"1325","49","0","70"
"1326","49","0","70"
"1327","42","0","70"
"1328","42","0","70"
"1329","49","0","70"
"1330","49","0","70"
"1331","49","0","70"
"1332","42","0","70"
"1333","42","0","70"
"1334","42","0","70"
