"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"697","21","0","30"
"698","27","0","30"
"699","24","0","30"
"700","24","0","30"
"701","24","0","30"
"702","24","0","30"
"703","27","0","30"
"704","21","0","30"
"705","24","0","30"
"706","24","0","30"
"707","24","0","30"
"708","24","0","30"
"709","27","0","30"
"710","24","0","30"
"711","27","0","30"
"712","27","0","30"
"713","24","0","30"
"714","24","0","30"
"715","24","0","30"
"716","24","0","30"
"717","24","0","30"
"718","24","0","30"
"719","24","0","30"
"720","24","0","30"
"721","24","0","30"
"722","24","0","30"
"723","24","0","30"
"724","24","0","30"
"725","24","0","30"
"726","21","0","30"
"727","27","0","30"
"728","24","0","30"
"729","27","0","30"
"730","24","0","30"
"731","24","0","30"
"732","24","0","30"
"733","24","0","30"
"734","24","0","30"
"735","24","0","30"
"736","21","0","30"
"737","24","0","30"
"738","24","0","30"
"739","21","0","30"
"740","24","0","30"
"741","24","0","30"
"742","24","0","30"
"743","24","0","30"
"744","24","0","30"
"745","24","0","30"
"746","21","0","30"
"747","24","0","30"
"748","21","0","30"
"749","24","0","30"
"750","24","0","30"
"751","27","0","30"
"752","21","0","30"
"753","24","0","30"
"754","24","0","30"
"755","24","0","30"
"756","21","0","30"
"757","21","0","30"
"758","21","0","30"
"759","24","0","30"
"760","21","0","30"
"761","21","0","30"
"762","21","0","30"
"763","21","0","30"
"764","27","0","30"
"765","24","0","30"
"766","27","0","30"
"767","24","0","30"
"768","30","30","30"
"769","24","0","30"
"770","24","0","30"
"771","27","0","30"
"772","27","0","30"
"773","27","0","30"
"774","30","30","30"
"775","24","0","30"
"776","27","0","30"
"777","27","0","30"
"778","27","0","30"
"779","27","0","30"
"780","27","0","30"
"781","21","0","30"
"782","24","0","30"
"783","27","0","30"
"784","21","0","30"
"785","21","0","30"
"786","27","0","30"
"787","27","0","30"
"788","21","0","30"
"789","27","0","30"
"790","24","0","30"
"791","27","0","30"
"792","27","0","30"
"793","27","0","30"
"794","18","0","30"
"795","27","0","30"
"796","27","0","30"
"797","21","0","30"
"798","27","0","30"
"799","27","0","30"
"800","27","0","30"
"801","27","0","30"
"802","30","30","30"
"803","21","0","30"
"804","24","0","30"
"805","24","0","30"
"806","24","0","30"
"807","24","0","30"
"808","24","0","30"
"809","27","0","30"
"810","27","0","30"
"811","21","0","30"
"812","21","0","30"
"813","24","0","30"
"814","27","0","30"
"815","27","0","30"
"816","30","30","30"
"817","24","0","30"
"818","24","0","30"
"819","24","0","30"
"820","27","0","30"
"821","30","30","30"
"822","27","0","30"
"823","30","30","30"
"824","30","30","30"
"825","27","0","30"
"826","24","0","30"
"827","30","30","30"
"828","27","0","30"
"829","27","0","30"
"830","27","0","30"
"831","24","0","30"
"832","27","0","30"
"833","27","0","30"
"834","27","0","30"
"835","24","0","30"
"836","27","0","30"
"837","24","0","30"
"838","27","0","30"
"839","24","0","30"
"840","27","0","30"
"841","27","0","30"
"842","27","0","30"
"843","24","0","30"
"844","27","0","30"
"845","24","0","30"
"846","27","0","30"
"847","24","0","30"
"848","27","0","30"
"849","24","0","30"
"850","24","0","30"
"851","27","0","30"
"852","27","0","30"
"853","27","0","30"
"854","27","0","30"
"855","24","0","30"
"856","24","0","30"
"857","27","0","30"
"858","27","0","30"
"859","27","0","30"
"860","27","0","30"
"861","27","0","30"
"862","27","0","30"
"863","27","0","30"
"864","27","0","30"
"865","27","0","30"
"866","27","0","30"
"867","27","0","30"
"868","24","0","30"
"869","27","0","30"
"870","27","0","30"
"871","27","0","30"
"872","27","0","30"
"873","27","0","30"
"874","27","0","30"
"875","27","0","30"
"876","27","0","30"
"877","24","0","30"
"878","27","0","30"
"879","24","0","30"
"880","27","0","30"
"881","24","0","30"
"882","27","0","30"
