"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1109","-1","-1","-1"
"1111","-1","-1","-1"
"1113","-1","-1","-1"
"1119","-1","-1","-1"
"1121","-1","-1","-1"
"1124","-1","-1","-1"
"1125","-1","-1","-1"
"1126","-1","-1","-1"
"1127","-1","-1","-1"
"1128","-1","-1","-1"
"1130","-1","-1","-1"
"1132","-1","-1","-1"
"1134","-1","-1","-1"
"1135","-1","-1","-1"
"1138","-1","-1","-1"
"1140","-1","-1","-1"
"1143","-1","-1","-1"
"1144","-1","-1","-1"
"1147","-1","-1","-1"
"1148","-1","-1","-1"
"1149","-1","-1","-1"
"1150","-1","-1","-1"
"1151","-1","-1","-1"
"1154","-1","-1","-1"
"1155","-1","-1","-1"
"1156","-1","-1","-1"
"1158","-1","-1","-1"
"1159","-1","-1","-1"
"1161","-1","-1","-1"
"1163","-1","-1","-1"
"1164","-1","-1","-1"
"1172","-1","-1","-1"
"1173","-1","-1","-1"
"1175","-1","-1","-1"
"1177","-1","-1","-1"
"1178","-1","-1","-1"
"1179","-1","-1","-1"
"1180","-1","-1","-1"
"1183","-1","-1","-1"
"1185","-1","-1","-1"
"1186","-1","-1","-1"
"1187","-1","-1","-1"
"1191","-1","-1","-1"
"1192","-1","-1","-1"
"1193","-1","-1","-1"
"1196","-1","-1","-1"
"1197","-1","-1","-1"
"1199","-1","-1","-1"
"1200","-1","-1","-1"
"1201","-1","-1","-1"
"1203","-1","-1","-1"
"1204","-1","-1","-1"
"1205","-1","-1","-1"
"1209","-1","-1","-1"
"1211","-1","-1","-1"
"1214","-1","-1","-1"
"1218","-1","-1","-1"
"1222","-1","-1","-1"
"1223","-1","-1","-1"
"1224","-1","-1","-1"
"1226","-1","-1","-1"
"1229","-1","-1","-1"
"1230","-1","-1","-1"
"1231","-1","-1","-1"
"1232","-1","-1","-1"
"1233","-1","-1","-1"
"1236","-1","-1","-1"
"1237","-1","-1","-1"
"1239","-1","-1","-1"
"1242","-1","-1","-1"
"1244","-1","-1","-1"
"1245","-1","-1","-1"
"1247","-1","-1","-1"
"1249","-1","-1","-1"
"1251","-1","-1","-1"
"1252","-1","-1","-1"
"1253","-1","-1","-1"
"1256","-1","-1","-1"
"1257","-1","-1","-1"
"1262","-1","-1","-1"
"1267","-1","-1","-1"
"1271","-1","-1","-1"
"1274","-1","-1","-1"
"1275","-1","-1","-1"
"1277","-1","-1","-1"
"1281","-1","-1","-1"
"1282","-1","-1","-1"
"1283","-1","-1","-1"
"1286","-1","-1","-1"
"1287","-1","-1","-1"
"1288","-1","-1","-1"
"1289","-1","-1","-1"
"1291","-1","-1","-1"
"1292","-1","-1","-1"
"1296","-1","-1","-1"
"1298","-1","-1","-1"
"1299","-1","-1","-1"
"1306","-1","-1","-1"
"1308","-1","-1","-1"
"1309","-1","-1","-1"
"1311","-1","-1","-1"
"1312","-1","-1","-1"
"1313","-1","-1","-1"
"1315","-1","-1","-1"
"1316","-1","-1","-1"
"1317","-1","-1","-1"
"1318","-1","-1","-1"
"1319","-1","-1","-1"
"1320","-1","-1","-1"
"1323","-1","-1","-1"
"1326","-1","-1","-1"
"1327","-1","-1","-1"
"1330","-1","-1","-1"
"1336","-1","-1","-1"
"1340","-1","-1","-1"
"1341","-1","-1","-1"
"1342","-1","-1","-1"
