"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1777","-1","-1","-1"
"1779","-1","-1","-1"
"1781","-1","-1","-1"
"1782","-1","-1","-1"
"1785","-1","-1","-1"
"1787","-1","-1","-1"
"1790","-1","-1","-1"
"1791","-1","-1","-1"
"1793","-1","-1","-1"
"1795","-1","-1","-1"
"1796","-1","-1","-1"
"1797","-1","-1","-1"
"1800","-1","-1","-1"
"1804","-1","-1","-1"
"1807","-1","-1","-1"
"1809","-1","-1","-1"
"1810","-1","-1","-1"
"1811","-1","-1","-1"
"1813","-1","-1","-1"
"1814","-1","-1","-1"
"1815","-1","-1","-1"
"1816","-1","-1","-1"
"1817","-1","-1","-1"
"1818","-1","-1","-1"
"1820","-1","-1","-1"
"1822","-1","-1","-1"
"1823","-1","-1","-1"
"1827","-1","-1","-1"
"1829","-1","-1","-1"
"1832","-1","-1","-1"
"1837","-1","-1","-1"
"1839","-1","-1","-1"
"1841","-1","-1","-1"
"1842","-1","-1","-1"
"1850","-1","-1","-1"
"1851","-1","-1","-1"
"1855","-1","-1","-1"
"1856","-1","-1","-1"
"1857","-1","-1","-1"
"1859","-1","-1","-1"
"1862","-1","-1","-1"
"1864","-1","-1","-1"
"1865","-1","-1","-1"
"1869","-1","-1","-1"
"1870","-1","-1","-1"
"1871","-1","-1","-1"
"1872","-1","-1","-1"
"1874","-1","-1","-1"
"1877","-1","-1","-1"
"1878","-1","-1","-1"
"1879","-1","-1","-1"
"1880","-1","-1","-1"
"1885","-1","-1","-1"
"1886","-1","-1","-1"
"1887","-1","-1","-1"
"1888","-1","-1","-1"
"1890","-1","-1","-1"
"1892","-1","-1","-1"
"1893","-1","-1","-1"
"1894","-1","-1","-1"
"1895","-1","-1","-1"
"1896","-1","-1","-1"
"1897","-1","-1","-1"
"1899","-1","-1","-1"
"1902","-1","-1","-1"
"1906","-1","-1","-1"
"1910","-1","-1","-1"
"1911","-1","-1","-1"
"1912","-1","-1","-1"
"1913","-1","-1","-1"
"1917","-1","-1","-1"
"1920","-1","-1","-1"
"1921","-1","-1","-1"
"1923","-1","-1","-1"
"1924","-1","-1","-1"
"1928","-1","-1","-1"
"1929","-1","-1","-1"
"1930","-1","-1","-1"
"1933","-1","-1","-1"
"1935","-1","-1","-1"
"1937","-1","-1","-1"
"1938","-1","-1","-1"
"1939","-1","-1","-1"
"1940","-1","-1","-1"
"1941","-1","-1","-1"
"1942","-1","-1","-1"
"1944","-1","-1","-1"
"1945","-1","-1","-1"
"1948","-1","-1","-1"
"1951","-1","-1","-1"
"1953","-1","-1","-1"
"1957","-1","-1","-1"
"1959","-1","-1","-1"
"1960","-1","-1","-1"
"1962","-1","-1","-1"
"1963","-1","-1","-1"
"1965","-1","-1","-1"
"1966","-1","-1","-1"
"1967","-1","-1","-1"
"1968","-1","-1","-1"
"1970","-1","-1","-1"
"1973","-1","-1","-1"
"1975","-1","-1","-1"
"1976","-1","-1","-1"
"1980","-1","-1","-1"
"1982","-1","-1","-1"
"1983","-1","-1","-1"
"1987","-1","-1","-1"
"1990","-1","-1","-1"
"1991","-1","-1","-1"
"1992","-1","-1","-1"
"1993","-1","-1","-1"
"1997","-1","-1","-1"
"1998","-1","-1","-1"
"1999","-1","-1","-1"
"2003","-1","-1","-1"
"2005","-1","-1","-1"
"2007","-1","-1","-1"
"2011","-1","-1","-1"
"2015","-1","-1","-1"
"2016","-1","-1","-1"
"2018","-1","-1","-1"
"2020","-1","-1","-1"
"2021","-1","-1","-1"
"2022","-1","-1","-1"
"2024","-1","-1","-1"
"2027","-1","-1","-1"
"2028","-1","-1","-1"
