"Step","setup: Dylam - ep_info/Banana","setup: Dylam - ep_info/Banana__MIN","setup: Dylam - ep_info/Banana__MAX","setup: Drq - ep_info/Banana","setup: Drq - ep_info/Banana__MIN","setup: Drq - ep_info/Banana__MAX","setup: Decq - ep_info/Banana","setup: Decq - ep_info/Banana__MIN","setup: Decq - ep_info/Banana__MAX","setup: Baseline - ep_info/Banana","setup: Baseline - ep_info/Banana__MIN","setup: Baseline - ep_info/Banana__MAX"
"259","22.5","0","30","27","0","30","24","0","30","24","0","30"
"260","30","30","30","30","30","30","24","0","30","27","0","30"
"261","26.25","0","30","30","30","30","24","0","30","18","0","30"
"262","30","30","30","30","30","30","24","0","30","24","0","30"
"263","30","30","30","30","30","30","21","0","30","24","0","30"
"264","26.25","0","30","30","30","30","24","0","30","24","0","30"
"265","30","30","30","30","30","30","24","0","30","24","0","30"
"266","30","30","30","30","30","30","21","0","30","24","0","30"
"267","30","30","30","30","30","30","21","0","30","24","0","30"
"268","30","30","30","30","30","30","30","30","30","24","0","30"
"269","26.25","0","30","30","30","30","24","0","30","24","0","30"
"270","26.25","0","30","30","30","30","21","0","30","21","0","30"
"271","26.25","0","30","30","30","30","21","0","30","24","0","30"
"272","30","30","30","30","30","30","18","0","30","24","0","30"
"273","30","30","30","27","0","30","21","0","30","24","0","30"
"274","30","30","30","27","0","30","18","0","30","24","0","30"
"275","30","30","30","27","0","30","21","0","30","24","0","30"
"276","30","30","30","27","0","30","24","0","30","24","0","30"
"277","30","30","30","30","30","30","21","0","30","24","0","30"
"278","26.25","0","30","30","30","30","21","0","30","24","0","30"
"279","26.25","0","30","30","30","30","21","0","30","27","0","30"
"280","30","30","30","27","0","30","18","0","30","24","0","30"
"281","30","30","30","30","30","30","24","0","30","24","0","30"
"282","26.25","0","30","27","0","30","24","0","30","27","0","30"
"283","30","30","30","30","30","30","18","0","30","24","0","30"
"284","30","30","30","27","0","30","27","0","30","24","0","30"
"285","30","30","30","27","0","30","21","0","30","24","0","30"
"286","30","30","30","27","0","30","24","0","30","24","0","30"
"287","26.25","0","30","30","30","30","21","0","30","24","0","30"
"288","30","30","30","27","0","30","27","0","30","27","0","30"
"289","30","30","30","30","30","30","21","0","30","24","0","30"
"290","26.25","0","30","30","30","30","27","0","30","24","0","30"
"291","30","30","30","30","30","30","21","0","30","24","0","30"
"292","18.75","0","30","30","30","30","21","0","30","24","0","30"
"293","26.25","0","30","30","30","30","21","0","30","24","0","30"
"294","26.25","0","30","30","30","30","21","0","30","21","0","30"
"295","26.25","0","30","30","30","30","18","0","30","24","0","30"
"296","30","30","30","27","0","30","24","0","30","27","0","30"
"297","26.25","0","30","30","30","30","27","0","30","24","0","30"
"298","26.25","0","30","30","30","30","18","0","30","24","0","30"
"299","30","30","30","30","30","30","24","0","30","24","0","30"
"300","30","30","30","30","30","30","24","0","30","24","0","30"
"301","26.25","0","30","27","0","30","27","0","30","24","0","30"
"302","30","30","30","30","30","30","18","0","30","24","0","30"
"303","30","30","30","30","30","30","21","0","30","24","0","30"
"304","30","30","30","30","30","30","24","0","30","24","0","30"
"305","30","30","30","30","30","30","21","0","30","24","0","30"
"306","30","30","30","27","0","30","21","0","30","24","0","30"
