"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"213","0","0","0","0","0","0","7","0","70","0","0","0"
"214","0","0","0","0","0","0","7","0","70","0","0","0"
"215","8.75","0","70","0","0","0","0","0","0","7","0","70"
"216","0","0","0","7","0","70","0","0","0","0","0","0"
"217","8.75","0","70","0","0","0","0","0","0","0","0","0"
"218","8.75","0","70","0","0","0","7","0","70","0","0","0"
"219","0","0","0","0","0","0","0","0","0","0","0","0"
"220","0","0","0","7","0","70","0","0","0","0","0","0"
"221","0","0","0","0","0","0","0","0","0","0","0","0"
"222","0","0","0","0","0","0","0","0","0","0","0","0"
"223","0","0","0","0","0","0","7","0","70","0","0","0"
"224","8.75","0","70","0","0","0","0","0","0","0","0","0"
"225","0","0","0","0","0","0","7","0","70","0","0","0"
"226","0","0","0","0","0","0","7","0","70","0","0","0"
"227","8.75","0","70","0","0","0","21","0","70","7","0","70"
"228","0","0","0","0","0","0","0","0","0","0","0","0"
"229","0","0","0","0","0","0","0","0","0","0","0","0"
"230","0","0","0","0","0","0","0","0","0","7","0","70"
"231","0","0","0","0","0","0","0","0","0","0","0","0"
"232","0","0","0","0","0","0","0","0","0","0","0","0"
"233","0","0","0","0","0","0","7","0","70","0","0","0"
"234","0","0","0","0","0","0","14","0","70","0","0","0"
"235","0","0","0","0","0","0","0","0","0","0","0","0"
"236","8.75","0","70","0","0","0","0","0","0","0","0","0"
"237","8.75","0","70","7","0","70","0","0","0","0","0","0"
"238","0","0","0","0","0","0","0","0","0","0","0","0"
"239","0","0","0","0","0","0","7","0","70","0","0","0"
"240","0","0","0","0","0","0","21","0","70","7","0","70"
"241","0","0","0","0","0","0","7","0","70","7","0","70"
"242","0","0","0","0","0","0","0","0","0","7","0","70"
"243","0","0","0","0","0","0","7","0","70","7","0","70"
"244","0","0","0","0","0","0","0","0","0","0","0","0"
"245","0","0","0","7","0","70","0","0","0","0","0","0"
"246","0","0","0","0","0","0","0","0","0","0","0","0"
"247","0","0","0","0","0","0","0","0","0","0","0","0"
"248","0","0","0","0","0","0","0","0","0","0","0","0"
"249","0","0","0","0","0","0","7","0","70","0","0","0"
"250","0","0","0","7","0","70","7","0","70","0","0","0"
"251","0","0","0","0","0","0","7","0","70","0","0","0"
"252","0","0","0","0","0","0","0","0","0","7","0","70"
"253","0","0","0","0","0","0","7","0","70","0","0","0"
"254","0","0","0","0","0","0","7","0","70","0","0","0"
"255","0","0","0","0","0","0","0","0","0","0","0","0"
"256","0","0","0","0","0","0","0","0","0","0","0","0"
"257","8.75","0","70","0","0","0","0","0","0","0","0","0"
"258","0","0","0","0","0","0","14","0","70","0","0","0"
"259","0","0","0","0","0","0","7","0","70","0","0","0"
"260","0","0","0","0","0","0","7","0","70","0","0","0"
"261","0","0","0","0","0","0","7","0","70","0","0","0"
"262","0","0","0","0","0","0","7","0","70","0","0","0"
"263","0","0","0","0","0","0","0","0","0","0","0","0"
"264","0","0","0","0","0","0","14","0","70","0","0","0"
"265","0","0","0","0","0","0","14","0","70","0","0","0"
"266","0","0","0","0","0","0","0","0","0","0","0","0"
"267","0","0","0","0","0","0","7","0","70","7","0","70"
"268","0","0","0","0","0","0","7","0","70","0","0","0"
"269","0","0","0","0","0","0","7","0","70","0","0","0"
"270","0","0","0","0","0","0","14","0","70","0","0","0"
"271","0","0","0","0","0","0","28","0","70","0","0","0"
"272","0","0","0","0","0","0","14","0","70","0","0","0"
"273","0","0","0","0","0","0","0","0","0","0","0","0"
"274","0","0","0","0","0","0","28","0","70","0","0","0"
"275","0","0","0","0","0","0","14","0","70","0","0","0"
"276","0","0","0","0","0","0","7","0","70","0","0","0"
"277","0","0","0","0","0","0","7","0","70","0","0","0"
"278","0","0","0","0","0","0","0","0","0","0","0","0"
"279","0","0","0","0","0","0","7","0","70","7","0","70"
"280","0","0","0","0","0","0","14","0","70","0","0","0"
"281","0","0","0","0","0","0","14","0","70","0","0","0"
"282","8.75","0","70","0","0","0","21","0","70","0","0","0"
"283","8.75","0","70","0","0","0","28","0","70","0","0","0"
"284","0","0","0","0","0","0","21","0","70","0","0","0"
"285","0","0","0","0","0","0","14","0","70","0","0","0"
"286","0","0","0","0","0","0","7","0","70","0","0","0"
"287","0","0","0","0","0","0","7","0","70","0","0","0"
"288","8.75","0","70","0","0","0","14","0","70","0","0","0"
"289","0","0","0","0","0","0","0","0","0","0","0","0"
"290","0","0","0","0","0","0","14","0","70","7","0","70"
"291","0","0","0","0","0","0","0","0","0","0","0","0"
"292","0","0","0","0","0","0","28","0","70","0","0","0"
"293","0","0","0","0","0","0","7","0","70","0","0","0"
"294","0","0","0","0","0","0","14","0","70","7","0","70"
"295","8.75","0","70","0","0","0","14","0","70","0","0","0"
"296","0","0","0","0","0","0","21","0","70","7","0","70"
"297","0","0","0","0","0","0","14","0","70","0","0","0"
