"Step","setup: Dylam - ep_info/total","setup: Dylam - ep_info/total__MIN","setup: Dylam - ep_info/total__MAX","setup: Drq - ep_info/total","setup: Drq - ep_info/total__MIN","setup: Drq - ep_info/total__MAX","setup: Decq - ep_info/total","setup: Decq - ep_info/total__MIN","setup: Decq - ep_info/total__MAX","setup: Baseline - ep_info/total","setup: Baseline - ep_info/total__MIN","setup: Baseline - ep_info/total__MAX"
"400","126.25","100","130","130","130","130","59","0","130","127","100","130"
"401","122.5","100","130","130","130","130","92","0","200","124","100","130"
"402","126.25","100","130","130","130","130","76","0","170","127","100","130"
"403","126.25","100","130","130","130","130","72","0","200","127","100","130"
"404","126.25","100","130","130","130","130","92","0","200","127","100","130"
"405","126.25","100","130","124","70","130","62","0","130","127","100","130"
"406","126.25","100","130","130","130","130","79","0","200","127","100","130"
"407","126.25","100","130","130","130","130","66","0","200","127","100","130"
"408","113.75","0","130","130","130","130","69","0","130","127","100","130"
"409","110","0","130","130","130","130","101","30","200","127","100","130"
"410","126.25","100","130","130","130","130","82","0","200","127","100","130"
"411","113.75","0","130","127","100","130","65","0","130","124","100","130"
"412","113.75","30","130","130","130","130","78","0","200","127","100","130"
"413","126.25","100","130","130","130","130","48","0","130","127","100","130"
"414","110","0","130","130","130","130","75","0","200","127","100","130"
"415","126.25","100","130","130","130","130","65","0","130","127","100","130"
"416","110","0","130","130","130","130","86","0","200","127","100","130"
"417","113.75","0","130","130","130","130","82","0","170","127","100","130"
"418","113.75","0","130","130","130","130","82","0","200","127","100","130"
"419","126.25","100","130","127","100","130","75","0","200","124","100","130"
"420","113.75","0","130","130","130","130","85","0","200","127","100","130"
"421","113.75","0","130","130","130","130","52","0","130","127","100","130"
"422","126.25","100","130","130","130","130","58","0","130","127","100","130"
"423","110","0","130","127","100","130","78","0","200","127","100","130"
"424","130","130","130","130","130","130","62","0","130","127","100","130"
"425","113.75","0","130","130","130","130","65","0","200","127","100","130"
"426","113.75","0","130","130","130","130","98","0","200","127","100","130"
"427","130","130","130","127","100","130","52","0","200","124","100","130"
"428","126.25","100","130","130","130","130","51","0","130","124","100","130"
"429","126.25","100","130","124","70","130","48","0","130","127","100","130"
"430","110","0","130","130","130","130","45","0","130","130","130","130"
"431","122.5","100","130","130","130","130","62","0","130","127","100","130"
"432","126.25","100","130","127","100","130","58","0","130","127","100","130"
"433","126.25","100","130","130","130","130","51","0","130","130","130","130"
"434","126.25","100","130","130","130","130","61","0","130","127","100","130"
"435","113.75","0","130","130","130","130","74","30","130","127","100","130"
"436","126.25","100","130","130","130","130","61","30","130","127","100","130"
"437","130","130","130","130","130","130","51","0","130","124","100","130"
"438","126.25","100","130","130","130","130","81","0","200","127","100","130"
"439","122.5","100","130","127","100","130","71","30","130","127","100","130"
"440","126.25","100","130","130","130","130","88","30","200","127","100","130"
"441","118.75","70","130","130","130","130","67","0","130","127","100","130"
"442","126.25","100","130","127","100","130","71","0","130","127","100","130"
"443","126.25","100","130","130","130","130","90","30","130","127","100","130"
"444","122.5","100","130","127","100","130","77","30","130","127","100","130"
"445","126.25","100","130","130","130","130","61","0","130","124","100","130"
"446","126.25","100","130","130","130","130","78","0","200","127","100","130"
"447","126.25","100","130","130","130","130","54","0","130","127","100","130"
"448","138.75","130","200","130","130","130","54","0","130","127","100","130"
"449","126.25","100","130","130","130","130","41","0","130","127","100","130"
