"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"292","0.2","0","1","-62.4","-72","-33","-120.8","-133","-83"
"293","0","0","0","-64.8","-71","-59","-135.2","-141","-129"
"294","0.2","0","1","-61.2","-72","-45","-123.6","-139","-79"
"295","0.2","0","1","-60.8","-70","-43","-129.8","-139","-110"
"296","0","0","0","-63","-69","-58","-137","-142","-131"
"297","0","0","0","-66.6","-71","-64","-133.4","-136","-129"
"298","0","0","0","-68","-75","-61","-132","-139","-125"
"299","0","0","0","-67.4","-70","-64","-132.6","-136","-130"
"300","0","0","0","-64.6","-69","-60","-135.4","-140","-131"
"301","0.2","0","1","-55.6","-69","-18","-120.4","-138","-62"
"302","0","0","0","-67","-70","-64","-133","-136","-130"
"303","0.4","0","1","-55.6","-75","-13","-114","-139","-36"
"304","0","0","0","-64.2","-67","-60","-135.8","-140","-133"
"305","0.2","0","1","-64","-73","-39","-123","-132","-96"
"306","0.4","0","1","-49.8","-65","-19","-108.6","-136","-51"
"307","0","0","0","-66.6","-67","-66","-133.4","-134","-133"
"308","0.2","0","1","-63","-68","-49","-125.8","-136","-95"
"309","0","0","0","-61.4","-66","-58","-138.6","-142","-134"
"310","0","0","0","-65.6","-66","-64","-134.4","-136","-134"
"311","0.2","0","1","-57","-68","-20","-117.6","-135","-53"
"312","0","0","0","-65.8","-72","-63","-134.2","-137","-128"
"313","0","0","0","-67","-71","-61","-133","-139","-129"
"314","0","0","0","-66.8","-70","-64","-133.2","-136","-130"
"315","0","0","0","-66","-70","-62","-134","-138","-130"
"316","0","0","0","-66.8","-70","-63","-133.2","-137","-130"
"317","0.4","0","1","-55.4","-68","-40","-115","-140","-83"
"318","0","0","0","-64.8","-68","-60","-135.2","-140","-132"
"319","0.2","0","1","-56.2","-69","-19","-115.8","-137","-41"
"320","0.2","0","1","-60.6","-71","-34","-122.2","-136","-80"
"321","0","0","0","-63.8","-69","-62","-136.2","-138","-131"
"322","0.2","0","1","-59.8","-73","-22","-114.6","-138","-50"
"323","0","0","0","-68.6","-72","-66","-131.4","-134","-128"
"324","0","0","0","-68.6","-74","-62","-131.4","-138","-126"
"325","0","0","0","-65.4","-72","-60","-134.6","-140","-128"
"326","0.2","0","1","-59.6","-73","-12","-108.8","-130","-30"
"327","0.4","0","1","-56.8","-66","-44","-125.8","-136","-110"
"328","0","0","0","-65.8","-70","-62","-134.2","-138","-130"
"329","0","0","0","-65.4","-69","-62","-134.6","-138","-131"
"330","0","0","0","-64.6","-72","-60","-135.4","-140","-128"
"331","0","0","0","-63.4","-68","-60","-136.6","-140","-132"
"332","0.2","0","1","-56.4","-70","-21","-120.4","-137","-63"
"333","0","0","0","-66.2","-68","-63","-133.8","-137","-132"
"334","0","0","0","-64.2","-70","-60","-135.8","-140","-130"
"335","0.4","0","1","-50.8","-62","-26","-116.8","-142","-48"
"336","0.2","0","1","-60.4","-74","-33","-121","-136","-74"
"337","0","0","0","-65.2","-72","-56","-134.8","-144","-128"
"338","0.2","0","1","-59.2","-70","-28","-117.2","-137","-54"
"339","0","0","0","-67.4","-69","-63","-132.6","-137","-131"
"340","0.2","0","1","-60.8","-69","-44","-127","-139","-95"
"341","0","0","0","-67","-71","-63","-133","-137","-129"
"342","0.2","0","1","-61.8","-73","-38","-122.6","-135","-84"
"343","0.2","0","1","-57.8","-71","-26","-126","-139","-93"
"344","0","0","0","-66.2","-70","-63","-133.8","-137","-130"
"345","0.2","0","1","-61.2","-72","-37","-123","-140","-84"
"346","0","0","0","-66.8","-71","-62","-133.2","-138","-129"
"347","0","0","0","-65.8","-70","-60","-134.2","-140","-130"
"348","0.2","0","1","-62","-67","-46","-128","-136","-104"
"349","0","0","0","-66.4","-70","-62","-133.6","-138","-130"
"350","0","0","0","-65.8","-70","-63","-134.2","-137","-130"
"351","0","0","0","-64.4","-69","-60","-135.6","-140","-131"
"352","0.2","0","1","-65.2","-70","-58","-131","-136","-123"
"353","0","0","0","-65.6","-69","-61","-134.4","-139","-131"
"354","0.2","0","1","-64.8","-73","-49","-131.4","-135","-127"
