"Step","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"752","-27.2","-59","-13"
"753","-24.6","-61","-9"
"754","-61.8","-158","-17"
"755","-27.4","-55","-11"
"756","-34.6","-67","-12"
"757","-63.4","-179","-13"
"758","-47.8","-197","-8"
"759","-29.8","-68","-6"
"760","-19.2","-25","-13"
"761","-30.6","-58","-8"
"762","-51.6","-157","-10"
"763","-22.4","-57","-8"
"764","-43.6","-111","-17"
"765","-42.2","-123","-15"
"766","-22.8","-34","-14"
"767","-20.4","-36","-9"
"768","-22.2","-33","-12"
"769","-12.6","-22","-5"
"770","-31.8","-101","-10"
"771","-34","-110","-5"
"772","-17.6","-26","-12"
"773","-14.2","-18","-11"
"774","-45.4","-146","-12"
"775","-11.2","-14","-8"
"776","-13.6","-26","-7"
"777","-20","-30","-8"
"778","-18.4","-29","-6"
"779","-31.6","-62","-9"
"780","-16","-20","-12"
"781","-32.8","-62","-5"
"782","-23.4","-49","-8"
"783","-41.2","-135","-8"
"784","-32.8","-88","-11"
"785","-26.2","-63","-13"
"786","-31.8","-97","-11"
"787","-19","-38","-11"
"788","-17.4","-29","-10"
"789","-26.8","-60","-9"
"790","-46.6","-112","-12"
"791","-24.6","-45","-11"
"792","-12","-15","-5"
"793","-40.8","-124","-12"
"794","-26.6","-49","-15"
"795","-27.6","-72","-11"
"796","-18","-23","-13"
"797","-21.6","-37","-10"
"798","-30.8","-81","-8"
"799","-20.8","-31","-12"
"800","-18","-24","-14"
"801","-23.6","-49","-10"
"802","-25.2","-76","-8"
"803","-33.2","-79","-8"
"804","-29.8","-85","-12"
"805","-52","-124","-9"
"806","-21.2","-43","-8"
"807","-28.8","-65","-7"
"808","-23","-39","-13"
"809","-16.8","-30","-5"
"810","-16.4","-36","-10"
"811","-17.4","-30","-9"
"812","-13","-17","-9"
"813","-30","-81","-10"
"814","-24.2","-83","-8"
"815","-27.6","-62","-9"
"816","-19","-30","-10"
"817","-18.6","-48","-7"
"818","-22.4","-55","-12"
"819","-14.6","-24","-6"
"820","-29.2","-84","-11"
"821","-18","-34","-11"
"822","-14.8","-20","-10"
"823","-25.8","-61","-12"
"824","-12.4","-16","-8"
"825","-15.6","-23","-9"
"826","-20.8","-52","-9"
"827","-15.4","-20","-11"
"828","-16","-31","-11"
"829","-16.4","-26","-10"
"830","-15.4","-29","-10"
"831","-21.2","-28","-13"
"832","-30.2","-70","-8"
"833","-18.6","-27","-11"
"834","-17.4","-28","-9"
"835","-13.8","-19","-8"
"836","-23.2","-59","-9"
"837","-16.4","-22","-12"
"838","-11","-13","-9"
"839","-16.6","-21","-12"
"840","-12.8","-15","-9"
"841","-22.2","-49","-12"
"842","-21.6","-40","-12"
"843","-14.4","-20","-10"
"844","-13.4","-21","-9"
"845","-24.2","-73","-7"
"846","-23.8","-68","-9"
"847","-13","-18","-9"
"848","-22.2","-37","-14"
"849","-43.2","-133","-10"
"850","-12.4","-18","-9"
"851","-30.6","-48","-13"
"852","-22.6","-52","-8"
"853","-12","-24","-8"
"854","-15.4","-24","-9"
"855","-16.8","-32","-11"
"856","-21","-56","-9"
"857","-17.6","-30","-12"
"858","-18.8","-36","-12"
"859","-20.4","-41","-12"
"860","-21","-29","-14"
"861","-22","-27","-12"
"862","-15.4","-23","-9"
"863","-14.4","-21","-9"
"864","-37.6","-64","-7"
"865","-21.8","-51","-10"
"866","-27.6","-61","-9"
"867","-19.6","-35","-10"
"868","-17.8","-33","-9"
"869","-18.4","-22","-10"
"870","-14.6","-18","-9"
"871","-16.4","-27","-12"
"872","-22.6","-32","-11"
"873","-35.6","-80","-14"
"874","-14","-16","-11"
"875","-15.8","-19","-9"
"876","-18.2","-28","-13"
"877","-10.8","-15","-8"
"878","-13.8","-22","-11"
"879","-13","-21","-5"
"880","-15.6","-22","-6"
"881","-13","-15","-11"
"882","-16.8","-25","-10"
"883","-16","-21","-10"
"884","-25.8","-49","-10"
"885","-14.6","-22","-10"
"886","-21.8","-47","-9"
"887","-10.6","-14","-5"
"888","-22.8","-26","-20"
"889","-15","-19","-11"
"890","-16.2","-22","-10"
"891","-26.2","-51","-11"
"892","-13.6","-20","-6"
"893","-24.8","-62","-11"
"894","-14.2","-18","-10"
"895","-15.4","-34","-9"
"896","-14","-18","-7"
"897","-14.8","-30","-9"
"898","-12.4","-26","-8"
"899","-16.2","-25","-11"
"900","-13.4","-29","-7"
"901","-21","-32","-12"
"902","-13.8","-24","-10"
"903","-11.4","-15","-7"
"904","-16.2","-23","-11"
"905","-18","-29","-7"
"906","-24","-44","-8"
"907","-15.6","-20","-10"
"908","-14.6","-26","-6"
"909","-15","-32","-9"
"910","-14","-16","-11"
"911","-14","-20","-10"
"912","-14.2","-23","-10"
"913","-16.8","-28","-10"
"914","-14","-21","-9"
"915","-22.4","-66","-8"
"916","-11","-15","-7"
"917","-16.8","-24","-11"
"918","-12.6","-19","-9"
"919","-8.8","-13","-5"
"920","-16.6","-30","-11"
"921","-9.8","-12","-7"
"922","-10.8","-17","-6"
"923","-21","-28","-16"
"924","-15.6","-23","-10"
"925","-14.4","-19","-10"
"926","-15.2","-20","-12"
"927","-16.2","-33","-7"
"928","-17.4","-29","-12"
"929","-10.6","-15","-8"
"930","-18","-32","-11"
"931","-22.2","-33","-16"
"932","-14.8","-20","-12"
"933","-19.4","-32","-11"
"934","-9.8","-11","-8"
"935","-12.4","-17","-7"
"936","-14.6","-27","-8"
"937","-17.4","-34","-10"
"938","-23","-56","-11"
"939","-14.4","-19","-7"
"940","-15","-23","-5"
"941","-12.4","-14","-11"
