"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"167","0.2","0","1","-62.2","-70","-39","-121.6","-133","-80"
"168","0","0","0","-66.4","-68","-63","-133.6","-137","-132"
"169","0.4","0","1","-57.6","-69","-29","-120.8","-138","-66"
"170","0.2","0","1","-63.8","-66","-60","-134","-138","-129"
"171","0.4","0","1","-58.2","-67","-45","-123.6","-137","-97"
"172","0.2","0","1","-62.2","-69","-47","-128.8","-138","-108"
"173","0","0","0","-66","-71","-57","-134","-143","-129"
"174","0","0","0","-64","-66","-62","-136","-138","-134"
"175","0.4","0","1","-55.4","-66","-32","-116.2","-138","-70"
"176","0.2","0","1","-61.8","-69","-56","-133.4","-143","-120"
"177","0.4","0","1","-55.8","-71","-31","-116","-136","-71"
"178","0","0","0","-63","-67","-59","-137","-141","-133"
"179","0","0","0","-63.8","-68","-57","-136.2","-143","-132"
"180","0","0","0","-65.6","-68","-63","-134.4","-137","-132"
"181","0.2","0","1","-60.2","-68","-40","-127.2","-141","-97"
"182","0.2","0","1","-60","-68","-34","-120.4","-135","-68"
"183","0.4","0","1","-54.4","-68","-18","-110.8","-136","-32"
"184","0.2","0","1","-59.4","-67","-36","-124.8","-136","-85"
"185","0","0","0","-65.4","-69","-60","-134.6","-140","-131"
"186","0.2","0","1","-57.8","-68","-28","-119.6","-136","-59"
"187","0.2","0","1","-63.8","-67","-61","-134","-138","-128"
"188","0.2","0","1","-51.2","-66","-3","-111.6","-141","-11"
"189","0.2","0","1","-55.8","-68","-20","-119.4","-140","-56"
"190","0.4","0","1","-50.8","-67","-10","-103.8","-137","-21"
"191","0.2","0","1","-61.4","-68","-46","-130","-137","-111"
"192","0.4","0","1","-53.8","-63","-26","-116.2","-137","-56"
"193","0.2","0","1","-62.8","-65","-57","-135.6","-136","-135"
"194","0","0","0","-65.8","-70","-63","-134.2","-137","-130"
"195","0.4","0","1","-49.6","-68","-17","-100","-134","-38"
"196","0.4","0","1","-51.4","-69","-9","-109","-137","-22"
"197","0.4","0","1","-58","-67","-46","-119.8","-137","-96"
"198","0.2","0","1","-62.2","-69","-52","-131","-137","-114"
"199","0.2","0","1","-55.2","-67","-19","-117.4","-140","-44"
"200","0.4","0","1","-62.8","-66","-59","-131.8","-138","-120"
"201","0.6","0","1","-53.6","-67","-38","-112","-135","-83"
"202","0","0","0","-65","-71","-58","-135","-142","-129"
"203","0.4","0","1","-55","-67","-34","-113","-134","-68"
"204","0.4","0","1","-51.2","-69","-13","-109","-139","-40"
"205","0.2","0","1","-58.6","-67","-38","-124.4","-139","-77"
"206","0.2","0","1","-59.8","-69","-37","-123.8","-138","-81"
"207","0.2","0","1","-59.6","-71","-27","-116.4","-134","-53"
"208","0","0","0","-65.4","-70","-63","-134.6","-137","-130"
"209","0.4","0","1","-55.8","-65","-39","-123","-143","-80"
"210","0.2","0","1","-53.2","-67","-10","-116.4","-140","-38"
"211","0.2","0","1","-62","-72","-47","-129.2","-139","-109"
"212","0.4","0","1","-62.6","-71","-46","-124","-133","-101"
"213","0.2","0","1","-58.8","-65","-44","-131.4","-140","-107"
"214","0.4","0","1","-53.8","-68","-21","-116","-137","-56"
"215","0.6","0","1","-55","-68","-43","-120.2","-140","-95"
"216","0","0","0","-66.4","-71","-62","-133.6","-138","-129"
"217","0.2","0","1","-59.8","-72","-37","-122.4","-140","-74"
"218","0.4","0","1","-50.6","-67","-8","-110","-139","-23"
"219","0.2","0","1","-62.8","-68","-59","-136.6","-141","-132"
"220","0.2","0","1","-57.8","-71","-24","-117.6","-139","-53"
"221","0.2","0","1","-54.6","-65","-19","-116.6","-139","-37"
"222","0.2","0","1","-62.4","-70","-51","-131.4","-139","-118"
"223","0.2","0","1","-60.2","-68","-41","-128.2","-138","-101"
"224","0","0","0","-67","-68","-66","-133","-134","-132"
"225","0.6","0","1","-57","-67","-40","-121.6","-136","-85"
"226","0.4","0","1","-57.4","-68","-40","-117.4","-136","-75"
"227","0.4","0","1","-59.8","-70","-48","-128.2","-135","-107"
"228","0.8","0","1","-49.4","-68","-32","-109.8","-132","-89"
"229","0","0","0","-65.6","-68","-63","-134.4","-137","-132"
"230","0.8","0","1","-38.4","-65","-18","-77","-135","-38"
"231","0.4","0","1","-60","-69","-51","-129","-140","-110"
"232","0.2","0","1","-59.6","-66","-48","-130.2","-140","-101"
"233","0.4","0","1","-53.6","-71","-11","-110.2","-136","-29"
"234","0.2","0","1","-57.6","-67","-29","-121.6","-141","-67"
"235","0.4","0","1","-44.2","-67","-10","-94","-135","-33"
"236","0","0","0","-63.6","-68","-59","-136.4","-141","-132"
"237","0.2","0","1","-54.8","-65","-19","-117","-138","-40"
"238","0","0","0","-63.4","-66","-61","-136.6","-139","-134"
"239","0","0","0","-65.6","-68","-63","-134.4","-137","-132"
"240","0.4","0","1","-52","-70","-22","-104.2","-134","-49"
"241","0.8","0","1","-42","-58","-27","-94.6","-142","-54"
"242","0.4","0","1","-56.6","-68","-33","-116.8","-134","-70"
"243","0.8","0","1","-39.6","-64","-19","-91.8","-136","-44"
"244","0","0","0","-63.8","-67","-60","-136.2","-140","-133"
"245","0.6","0","1","-50.8","-68","-33","-109.4","-133","-79"
"246","0.2","0","1","-55.6","-65","-22","-116","-137","-36"
"247","0.4","0","1","-51.8","-68","-27","-112.4","-139","-66"
"248","0.4","0","1","-55.6","-65","-39","-119.2","-138","-85"
"249","0.4","0","1","-54.4","-67","-28","-114.8","-138","-64"
"250","0.4","0","1","-50.2","-65","-30","-109","-140","-52"
"251","0.2","0","1","-60.4","-67","-39","-124.6","-137","-86"
"252","0.4","0","1","-54.2","-67","-38","-115.2","-139","-74"
"253","0.4","0","1","-49.8","-68","-28","-108.4","-140","-67"
"254","0.4","0","1","-62.6","-65","-57","-132.8","-136","-128"
"255","0","0","0","-62.8","-65","-60","-137.2","-140","-135"
"256","0.6","0","1","-51.4","-69","-24","-102.6","-132","-51"
"257","0.2","0","1","-61.8","-69","-46","-124.4","-138","-85"
"258","0.4","0","1","-51.8","-65","-28","-115.6","-139","-69"
"259","0.2","0","1","-61.6","-70","-45","-128.6","-139","-106"
"260","0","0","0","-64.2","-68","-61","-135.8","-139","-132"
"261","0.2","0","1","-57.2","-65","-29","-122.8","-137","-71"
"262","0.4","0","1","-53.8","-71","-27","-110.6","-136","-76"
"263","0.4","0","1","-50.8","-67","-20","-104.8","-134","-52"
"264","0.6","0","1","-53.4","-66","-36","-116.2","-138","-81"
"265","0.6","0","1","-40.6","-64","-6","-96","-142","-21"
"266","0.8","0","1","-54.8","-69","-34","-117","-134","-87"
"267","0.2","0","1","-62.2","-68","-47","-127.8","-136","-103"
"268","0.4","0","1","-60.4","-68","-46","-122.4","-137","-84"
"269","0.2","0","1","-59.8","-67","-36","-125.6","-135","-91"
"270","0.4","0","1","-55","-66","-35","-118.8","-136","-86"
"271","0.6","0","1","-56.8","-65","-43","-125.2","-138","-114"
"272","0.2","0","1","-53","-65","-8","-113.4","-138","-24"
"273","0.2","0","1","-61.6","-67","-50","-130","-139","-108"
"274","0","0","0","-66.8","-70","-62","-133.2","-138","-130"
"275","0.2","0","1","-57","-64","-32","-124.6","-138","-76"
"276","0.4","0","1","-54","-69","-34","-119","-139","-79"
"277","0.2","0","1","-55","-67","-13","-115","-137","-37"
"278","0.2","0","1","-57.6","-68","-29","-122.4","-137","-71"
"279","0.4","0","1","-59.6","-67","-47","-125.8","-138","-108"
"280","0.2","0","1","-55.4","-69","-24","-120","-144","-53"
"281","0.4","0","1","-55.6","-65","-27","-116.2","-137","-55"
"282","0.4","0","1","-60.6","-66","-52","-126.4","-139","-111"
"283","0.2","0","1","-60.4","-67","-46","-129.2","-141","-102"
"284","0.2","0","1","-62.4","-71","-48","-128.6","-138","-107"
"285","0.4","0","1","-57.2","-68","-41","-118.2","-136","-80"
"286","0.4","0","1","-50.8","-69","-18","-107.4","-144","-32"
"287","0.2","0","1","-57.6","-66","-35","-124.4","-140","-75"
"288","0.4","0","1","-60.6","-67","-53","-130.2","-140","-111"
"289","0.2","0","1","-57.6","-67","-28","-119.6","-137","-58"
"290","0.4","0","1","-56.2","-67","-40","-119.6","-138","-82"
"291","0.4","0","1","-44.2","-66","-3","-97.8","-140","-14"
"292","0.4","0","1","-57.4","-67","-43","-127.2","-137","-97"
"293","0.4","0","1","-53.2","-67","-16","-113.4","-139","-35"
"294","0","0","0","-66.2","-71","-64","-133.8","-136","-129"
"295","0.2","0","1","-58.4","-66","-38","-127.6","-141","-92"
"296","0.4","0","1","-56.8","-69","-32","-115","-134","-75"
"297","0.2","0","1","-60.4","-66","-50","-129.4","-140","-99"
"298","0.6","0","1","-48.6","-66","-9","-102","-135","-30"
"299","0.6","0","1","-50","-67","-15","-108.8","-138","-33"
"300","0.6","0","1","-41.2","-66","-14","-87.2","-134","-33"
"301","0.4","0","1","-60.6","-70","-45","-120.4","-134","-91"
"302","0.6","0","1","-53.2","-69","-22","-110.8","-138","-64"
"303","0.4","0","1","-52.4","-64","-15","-116.8","-139","-35"
"304","0.2","0","1","-62","-67","-49","-126.6","-136","-94"
"305","0.2","0","1","-55.6","-68","-20","-117","-140","-43"
"306","0.6","0","1","-46.4","-69","-13","-93","-133","-31"
"307","0.6","0","1","-53.4","-65","-39","-113","-136","-87"
"308","0.2","0","1","-54.2","-67","-15","-116","-139","-36"
"309","0.4","0","1","-56.8","-70","-39","-115","-136","-86"
"310","0.2","0","1","-57.8","-66","-44","-131.2","-141","-101"
"311","0.4","0","1","-52.4","-64","-24","-118","-140","-58"
"312","0.4","0","1","-58","-69","-45","-126.2","-137","-103"
"313","0.4","0","1","-50.8","-68","-26","-106.4","-137","-54"
"314","0.8","0","1","-26","-63","-10","-58.4","-137","-31"
"315","0.4","0","1","-53","-70","-26","-108.4","-134","-56"
"316","0.2","0","1","-60.8","-69","-41","-125.6","-136","-91"
"317","0","0","0","-64","-69","-61","-136","-139","-131"
"318","0.4","0","1","-55.6","-70","-11","-110","-134","-30"
"319","0.2","0","1","-58.4","-65","-33","-123.6","-136","-77"
"320","0.2","0","1","-60.2","-67","-45","-128.6","-139","-99"
"321","0.8","0","1","-45.4","-66","-26","-101.6","-134","-57"
"322","0.6","0","1","-42.8","-69","-14","-91.6","-146","-30"
"323","0.2","0","1","-62.2","-66","-53","-133.6","-137","-126"
"324","0","0","0","-65.4","-68","-64","-134.6","-136","-132"
"325","0.2","0","1","-61.2","-69","-43","-124.8","-141","-87"
"326","0.4","0","1","-50","-68","-21","-105.2","-136","-46"
"327","0.4","0","1","-61.8","-66","-55","-129.6","-140","-106"
"328","0.6","0","1","-40.6","-68","-9","-86.6","-136","-27"
"329","0.4","0","1","-54","-66","-23","-119.4","-140","-63"
"330","0.2","0","1","-59.8","-66","-55","-136.2","-143","-125"
"331","0.4","0","1","-52.8","-66","-25","-109.6","-136","-59"
"332","0.2","0","1","-56","-68","-20","-119.6","-137","-58"
"333","0.2","0","1","-62.2","-67","-52","-131.2","-137","-115"
"334","0.4","0","1","-55","-68","-28","-113.8","-136","-71"
"335","0.2","0","1","-60.6","-67","-49","-133","-140","-119"
"336","0.6","0","1","-51","-68","-21","-107.8","-137","-55"
"337","0.2","0","1","-55.8","-65","-23","-120.4","-137","-58"
"338","0.4","0","1","-51.8","-65","-34","-116.8","-141","-77"
"339","0.4","0","1","-57","-65","-44","-124.4","-138","-96"
"340","0.4","0","1","-52","-66","-17","-108.2","-137","-40"
"341","0.4","0","1","-53","-68","-10","-107.2","-134","-22"
"342","0.4","0","1","-56.6","-70","-25","-119.4","-137","-59"
"343","0.6","0","1","-41.2","-67","-8","-89.2","-136","-23"
"344","0.4","0","1","-49.4","-65","-23","-105.4","-140","-39"
"345","0.4","0","1","-53.4","-72","-30","-112","-138","-79"
"346","0.6","0","1","-53.8","-66","-39","-118.6","-139","-84"
"347","0.6","0","1","-51.2","-69","-20","-110","-134","-55"
"348","0.2","0","1","-62.2","-67","-54","-131.4","-138","-114"
"349","0.4","0","1","-60.2","-66","-43","-126.8","-135","-103"
"350","0.6","0","1","-53.4","-66","-34","-122.4","-143","-75"
"351","0","0","0","-64.4","-66","-61","-135.6","-139","-134"
"352","0.2","0","1","-56.8","-66","-24","-117.8","-136","-49"
"353","0.6","0","1","-43","-66","-13","-95","-137","-29"
"354","0.4","0","1","-54.4","-68","-36","-111.8","-140","-76"
"355","0.6","0","1","-55.2","-64","-41","-122.6","-136","-99"
"356","0.6","0","1","-37.6","-68","-6","-80","-134","-18"
"357","0.2","0","1","-57.8","-69","-22","-118.6","-135","-60"
"358","0.4","0","1","-56.8","-67","-45","-125.2","-138","-103"
"359","0.4","0","1","-55.2","-66","-16","-114.6","-137","-41"
"360","0.2","0","1","-54.4","-65","-16","-118","-138","-46"
"361","0.6","0","1","-56.6","-64","-43","-126.4","-141","-95"
"362","0.6","0","1","-53.4","-67","-37","-114.8","-135","-87"
"363","0.4","0","1","-46","-66","-16","-99","-138","-39"
"364","0.4","0","1","-57.8","-64","-46","-130","-139","-105"
"365","0.4","0","1","-54.2","-68","-20","-113","-137","-42"
"366","0.4","0","1","-47","-67","-5","-97.8","-135","-19"
"367","0.6","0","1","-54","-68","-42","-117.2","-139","-89"
"368","0.6","0","1","-48.4","-71","-12","-96","-132","-34"
"369","0.2","0","1","-63.4","-69","-54","-134.4","-137","-131"
"370","0.2","0","1","-64.8","-67","-62","-135","-137","-133"
"371","0.8","0","1","-45.2","-68","-20","-95","-132","-38"
"372","0.6","0","1","-51.8","-67","-18","-110","-134","-37"
"373","0.6","0","1","-44.2","-65","-14","-94.2","-139","-40"
"374","0.2","0","1","-62.6","-67","-52","-130.2","-136","-112"
"375","0.4","0","1","-59.8","-65","-52","-130.6","-138","-112"
"376","0.6","0","1","-41.2","-68","-7","-89.2","-136","-17"
"377","0.4","0","1","-59.2","-70","-35","-123.4","-135","-96"
"378","0.6","0","1","-46.6","-62","-7","-104.4","-139","-17"
"379","0.2","0","1","-59.6","-71","-23","-115.8","-133","-54"
"380","1","1","1","-39.6","-53","-21","-89.2","-129","-51"
"381","0.6","0","1","-47.8","-61","-21","-108.6","-140","-59"
"382","0.4","0","1","-47.6","-66","-6","-104","-136","-20"
"383","0.4","0","1","-54.4","-67","-22","-116","-137","-55"
"384","0.4","0","1","-54","-67","-18","-115.2","-136","-52"
"385","0.4","0","1","-55.4","-69","-30","-117.8","-140","-65"
"386","0.2","0","1","-63","-68","-60","-134","-138","-125"
"387","0.2","0","1","-51.6","-68","-11","-116","-141","-27"
"388","0.6","0","1","-45.4","-68","-14","-97.4","-134","-26"
"389","0.6","0","1","-50.2","-66","-35","-109","-140","-67"
"390","0.8","0","1","-41.6","-69","-2","-90.2","-131","-15"
"391","0.6","0","1","-54","-63","-42","-123.2","-142","-107"
"392","0.4","0","1","-43.4","-65","-5","-96.4","-139","-11"
"393","0.4","0","1","-51","-69","-20","-107","-136","-53"
"394","0.6","0","1","-45.4","-66","-6","-100","-138","-19"
"395","0.6","0","1","-35","-65","-4","-78","-135","-12"
"396","0.4","0","1","-43.2","-66","-9","-95","-136","-23"
"397","0.6","0","1","-43.6","-69","-8","-89.8","-134","-25"
"398","0.4","0","1","-55.8","-68","-35","-116.8","-135","-83"
"399","0.8","0","1","-46","-67","-20","-92.8","-133","-51"
