"Step","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX"
"867","-1","-3","0"
"868","-0.4","-2","0"
"869","0","0","0"
"870","0","0","0"
"871","0","0","0"
"872","-0.4","-1","0"
"873","-0.6","-1","0"
"874","0","0","0"
"875","-0.4","-2","0"
"876","-0.4","-1","0"
"877","0","0","0"
"878","-0.2","-1","0"
"879","-0.4","-2","0"
"880","-0.2","-1","0"
"881","-0.2","-1","0"
"882","-0.2","-1","0"
"883","-0.4","-1","0"
"884","0","0","0"
"885","-0.2","-1","0"
"886","-0.4","-2","0"
"887","0","0","0"
"888","-0.8","-2","0"
"889","-0.2","-1","0"
"890","0","0","0"
"891","-0.2","-1","0"
"892","-0.2","-1","0"
"893","0","0","0"
"894","0","0","0"
"895","-0.6","-3","0"
"896","-0.4","-2","0"
"897","-0.4","-1","0"
"898","-0.2","-1","0"
"899","-0.2","-1","0"
"900","0","0","0"
"901","-0.4","-1","0"
"902","-0.2","-1","0"
"903","0","0","0"
"904","-0.2","-1","0"
"905","0","0","0"
"906","-0.2","-1","0"
"907","0","0","0"
"908","0","0","0"
"909","-0.4","-2","0"
"910","0","0","0"
"911","-0.4","-2","0"
"912","0","0","0"
"913","-0.4","-1","0"
"914","0","0","0"
"915","-0.8","-2","0"
"916","-0.2","-1","0"
"917","-0.2","-1","0"
"918","0","0","0"
"919","0","0","0"
"920","-0.2","-1","0"
"921","0","0","0"
"922","-0.4","-2","0"
"923","-0.6","-2","0"
"924","-0.2","-1","0"
"925","-0.2","-1","0"
"926","-0.8","-2","0"
"927","-0.2","-1","0"
"928","0","0","0"
"929","0","0","0"
"930","-0.2","-1","0"
"931","0","0","0"
"932","-0.4","-2","0"
"933","-0.4","-1","0"
"934","0","0","0"
"935","-0.2","-1","0"
"936","-1","-2","0"
"937","-0.6","-2","0"
"938","-0.6","-2","0"
"939","0","0","0"
"940","0","0","0"
"941","-0.2","-1","0"
"942","-0.2","-1","0"
"943","-0.4","-1","0"
"944","0","0","0"
"945","-0.2","-1","0"
"946","0","0","0"
"947","0","0","0"
"948","-0.2","-1","0"
"949","0","0","0"
"950","-0.8","-1","0"
"951","-0.2","-1","0"
"952","-0.2","-1","0"
"953","-0.2","-1","0"
"954","-0.2","-1","0"
"955","0","0","0"
"956","-0.2","-1","0"
"957","0","0","0"
"958","-0.4","-1","0"
"959","0","0","0"
"960","0","0","0"
"961","-0.2","-1","0"
"962","-0.4","-1","0"
"963","0","0","0"
"964","-0.2","-1","0"
"965","0","0","0"
"966","-0.2","-1","0"
"967","-0.4","-1","0"
"968","-0.4","-1","0"
"969","-0.2","-1","0"
"970","-0.2","-1","0"
"971","0","0","0"
"972","-0.2","-1","0"
"973","-0.2","-1","0"
"974","-0.2","-1","0"
"975","0","0","0"
"976","-0.2","-1","0"
"977","-0.2","-1","0"
"978","-0.4","-1","0"
"979","-0.2","-1","0"
"980","-0.2","-1","0"
