"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"580","80","0","100"
"581","70","0","100"
"582","80","0","100"
"583","80","0","100"
"584","70","0","100"
"585","70","0","100"
"586","70","0","100"
"587","70","0","100"
"588","90","0","100"
"589","80","0","100"
"590","90","0","100"
"591","80","0","100"
"592","80","0","100"
"593","80","0","100"
"594","60","0","100"
"595","80","0","100"
"596","70","0","100"
"597","50","0","100"
"598","70","0","100"
"599","90","0","100"
"600","80","0","100"
"601","70","0","100"
"602","90","0","100"
"603","90","0","100"
"604","80","0","100"
"605","80","0","100"
"606","60","0","100"
"607","70","0","100"
"608","80","0","100"
"609","70","0","100"
"610","80","0","100"
"611","90","0","100"
"612","80","0","100"
"613","90","0","100"
"614","70","0","100"
"615","90","0","100"
"616","80","0","100"
"617","80","0","100"
"618","80","0","100"
"619","100","100","100"
"620","80","0","100"
"621","100","100","100"
"622","80","0","100"
"623","60","0","100"
"624","70","0","100"
"625","90","0","100"
"626","80","0","100"
"627","70","0","100"
"628","80","0","100"
"629","90","0","100"
"630","70","0","100"
"631","70","0","100"
"632","70","0","100"
"633","60","0","100"
"634","70","0","100"
"635","80","0","100"
"636","60","0","100"
"637","70","0","100"
"638","70","0","100"
"639","60","0","100"
"640","60","0","100"
"641","60","0","100"
"642","80","0","100"
"643","80","0","100"
"644","70","0","100"
"645","90","0","100"
"646","70","0","100"
"647","60","0","100"
"648","90","0","100"
"649","70","0","100"
"650","80","0","100"
"651","90","0","100"
"652","70","0","100"
"653","80","0","100"
"654","80","0","100"
"655","80","0","100"
"656","80","0","100"
"657","80","0","100"
"658","60","0","100"
"659","70","0","100"
"660","70","0","100"
"661","60","0","100"
"662","60","0","100"
"663","50","0","100"
"664","60","0","100"
"665","70","0","100"
"666","70","0","100"
"667","70","0","100"
"668","80","0","100"
"669","60","0","100"
"670","60","0","100"
"671","60","0","100"
"672","60","0","100"
"673","70","0","100"
"674","60","0","100"
"675","70","0","100"
"676","70","0","100"
"677","100","100","100"
"678","70","0","100"
"679","60","0","100"
"680","60","0","100"
"681","80","0","100"
"682","90","0","100"
"683","80","0","100"
"684","90","0","100"
"685","80","0","100"
"686","80","0","100"
"687","70","0","100"
"688","80","0","100"
"689","90","0","100"
"690","100","100","100"
"691","90","0","100"
"692","80","0","100"
"693","80","0","100"
"694","90","0","100"
"695","80","0","100"
"696","90","0","100"
"697","90","0","100"
"698","90","0","100"
"699","90","0","100"
"700","80","0","100"
"701","90","0","100"
"702","80","0","100"
"703","70","0","100"
"704","70","0","100"
"705","90","0","100"
"706","70","0","100"
"707","60","0","100"
"708","80","0","100"
"709","70","0","100"
"710","70","0","100"
"711","70","0","100"
"712","90","0","100"
"713","80","0","100"
"714","60","0","100"
"715","80","0","100"
"716","70","0","100"
"717","60","0","100"
"718","60","0","100"
"719","50","0","100"
"720","60","0","100"
"721","70","0","100"
"722","70","0","100"
"723","70","0","100"
"724","70","0","100"
"725","70","0","100"
"726","60","0","100"
"727","70","0","100"
"728","60","0","100"
"729","70","0","100"
"730","90","0","100"
"731","70","0","100"
"732","80","0","100"
"733","80","0","100"
"734","90","0","100"
"735","80","0","100"
"736","80","0","100"
"737","70","0","100"
"738","70","0","100"
"739","70","0","100"
"740","80","0","100"
"741","70","0","100"
"742","90","0","100"
"743","80","0","100"
"744","90","0","100"
"745","80","0","100"
"746","80","0","100"
"747","80","0","100"
"748","80","0","100"
"749","80","0","100"
"750","80","0","100"
"751","80","0","100"
"752","90","0","100"
"753","90","0","100"
"754","90","0","100"
"755","80","0","100"
"756","100","100","100"
"757","80","0","100"
"758","90","0","100"
"759","90","0","100"
"760","90","0","100"
"761","80","0","100"
"762","90","0","100"
"763","80","0","100"
"764","80","0","100"
"765","100","100","100"
"766","90","0","100"
"767","80","0","100"
"768","100","100","100"
"769","80","0","100"
"770","90","0","100"
"771","90","0","100"
"772","80","0","100"
"773","90","0","100"
"774","90","0","100"
"775","90","0","100"
"776","90","0","100"
"777","100","100","100"
"778","90","0","100"
"779","90","0","100"
"780","90","0","100"
"781","90","0","100"
"782","90","0","100"
"783","90","0","100"
"784","100","100","100"
"785","100","100","100"
"786","100","100","100"
"787","100","100","100"
"788","100","100","100"
"789","100","100","100"
"790","100","100","100"
"791","100","100","100"
"792","100","100","100"
"793","100","100","100"
"794","90","0","100"
"795","90","0","100"
"796","90","0","100"
"797","90","0","100"
"798","80","0","100"
"799","80","0","100"
"800","90","0","100"
"801","90","0","100"
"802","80","0","100"
"803","90","0","100"
"804","80","0","100"
"805","80","0","100"
"806","90","0","100"
"807","90","0","100"
"808","90","0","100"
"809","90","0","100"
"810","90","0","100"
"811","90","0","100"
"812","100","100","100"
"813","80","0","100"
"814","90","0","100"
"815","80","0","100"
"816","80","0","100"
"817","80","0","100"
"818","80","0","100"
"819","100","100","100"
"820","80","0","100"
"821","70","0","100"
"822","90","0","100"
"823","80","0","100"
"824","80","0","100"
"825","90","0","100"
"826","80","0","100"
"827","90","0","100"
"828","80","0","100"
"829","90","0","100"
"830","90","0","100"
"831","90","0","100"
"832","100","100","100"
"833","90","0","100"
"834","100","100","100"
"835","90","0","100"
"836","100","100","100"
"837","90","0","100"
"838","100","100","100"
"839","90","0","100"
"840","100","100","100"
"841","90","0","100"
"842","100","100","100"
"843","100","100","100"
"844","90","0","100"
"845","90","0","100"
"846","100","100","100"
"847","90","0","100"
"848","90","0","100"
"849","100","100","100"
"850","100","100","100"
"851","90","0","100"
"852","90","0","100"
"853","90","0","100"
"854","100","100","100"
"855","90","0","100"
"856","100","100","100"
"857","100","100","100"
"858","100","100","100"
"859","90","0","100"
"860","100","100","100"
"861","90","0","100"
"862","100","100","100"
"863","90","0","100"
"864","100","100","100"
"865","90","0","100"
"866","90","0","100"
"867","90","0","100"
"868","90","0","100"
"869","90","0","100"
"870","90","0","100"
"871","80","0","100"
"872","80","0","100"
"873","80","0","100"
"874","80","0","100"
"875","90","0","100"
"876","80","0","100"
"877","80","0","100"
"878","80","0","100"
"879","80","0","100"
"880","80","0","100"
"881","80","0","100"
"882","90","0","100"
"883","90","0","100"
"884","90","0","100"
"885","90","0","100"
"886","90","0","100"
"887","90","0","100"
"888","90","0","100"
"889","90","0","100"
"890","90","0","100"
"891","90","0","100"
"892","90","0","100"
"893","80","0","100"
"894","80","0","100"
"895","80","0","100"
"896","80","0","100"
"897","80","0","100"
"898","80","0","100"
"899","80","0","100"
"900","80","0","100"
"901","80","0","100"
"902","80","0","100"
"903","80","0","100"
"904","80","0","100"
"905","90","0","100"
"906","80","0","100"
"907","80","0","100"
"908","80","0","100"
"909","80","0","100"
"910","80","0","100"
"911","90","0","100"
"912","80","0","100"
"913","80","0","100"
"914","80","0","100"
"915","80","0","100"
"916","80","0","100"
"917","80","0","100"
"918","90","0","100"
"919","90","0","100"
"920","90","0","100"
"921","90","0","100"
"922","90","0","100"
"923","90","0","100"
"924","90","0","100"
"925","90","0","100"
