"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"19823","0","0","0"
"19836","0","0","0"
"19853","0","0","0"
"19862","0","0","0"
"19917","0","0","0"
"19950","0","0","0"
"19966","0","0","0"
"19967","0","0","0"
"19990","0","0","0"
"19999","0","0","0"
"20011","0","0","0"
"20019","0","0","0"
"20028","0","0","0"
"20036","0","0","0"
"20061","0","0","0"
"20082","0","0","0"
"20100","0","0","0"
"20106","0","0","0"
"20135","0","0","0"
"20172","0","0","0"
"20220","0","0","0"
"20222","-1","-1","-1"
"20223","0","0","0"
"20240","0","0","0"
"20243","1","1","1"
"20249","-1","-1","-1"
"20301","1","1","1"
"20308","0","0","0"
"20318","0","0","0"
"20350","0","0","0"
"20351","0","0","0"
"20365","0","0","0"
"20367","0","0","0"
"20374","0","0","0"
"20384","0","0","0"
"20500","0","0","0"
"20515","0","0","0"
"20535","0","0","0"
"20553","0","0","0"
"20572","0","0","0"
"20599","0","0","0"
"20602","0","0","0"
"20613","0","0","0"
"20635","0","0","0"
"20638","0","0","0"
"20643","0","0","0"
"20646","0","0","0"
"20653","0","0","0"
"20661","0","0","0"
"20668","-1","-1","-1"
"20708","0","0","0"
"20715","0","0","0"
"20718","0","0","0"
"20742","0","0","0"
"20750","0","0","0"
"20754","0","0","0"
"20766","0","0","0"
"20799","0","0","0"
"20804","0","0","0"
"20819","0","0","0"
"20836","0","0","0"
"20882","0","0","0"
"20898","0","0","0"
"20906","0","0","0"
"20923","0","0","0"
"20984","0","0","0"
"21002","0","0","0"
"21013","0","0","0"
"21020","0","0","0"
"21022","0","0","0"
"21024","0","0","0"
"21034","0","0","0"
"21046","0","0","0"
"21048","0","0","0"
"21049","0","0","0"
"21053","0","0","0"
"21089","0","0","0"
"21108","0","0","0"
"21127","0","0","0"
"21132","0","0","0"
"21150","0","0","0"
"21165","0","0","0"
"21167","0","0","0"
"21190","0","0","0"
"21191","0","0","0"
"21199","0","0","0"
"21204","0","0","0"
"21243","0","0","0"
"21246","-1","-1","-1"
"21298","0","0","0"
"21306","0","0","0"
"21315","0","0","0"
"21394","0","0","0"
"21401","0","0","0"
"21423","0","0","0"
"21436","0","0","0"
"21438","0","0","0"
"21470","0","0","0"
"21489","0","0","0"
"21501","0","0","0"
"21530","0","0","0"
"21565","0","0","0"
"21567","0","0","0"
"21591","0","0","0"
"21612","0","0","0"
"21634","0","0","0"
"21636","0","0","0"
"21643","0","0","0"
"21646","0","0","0"
"21650","1","1","1"
"21691","0","0","0"
"21700","0","0","0"
"21726","0","0","0"
"21735","0","0","0"
"21749","0","0","0"
"21753","0","0","0"
"21794","0","0","0"
"21802","0","0","0"
"21807","0","0","0"
"21823","0","0","0"
"21843","0","0","0"
"21863","0","0","0"
"21891","0","0","0"
"21915","0","0","0"
"21927","0","0","0"
"21950","0","0","0"
"21966","0","0","0"
"21967","0","0","0"
"21999","0","0","0"
"22061","0","0","0"
"22067","0","0","0"
"22223","0","0","0"
"22234","0","0","0"
"22292","0","0","0"
"22294","0","0","0"
"22300","0","0","0"
"22318","0","0","0"
"22342","0","0","0"
"22352","0","0","0"
"22354","0","0","0"
"22416","0","0","0"
"22436","0","0","0"
"22439","0","0","0"
"22482","0","0","0"
"22527","0","0","0"
"22535","0","0","0"
"22549","0","0","0"
"22572","0","0","0"
"22594","0","0","0"
"22607","0","0","0"
"22634","0","0","0"
"22648","0","0","0"
"22692","0","0","0"
"22694","0","0","0"
"22727","0","0","0"
"22750","0","0","0"
"22765","0","0","0"
"22786","0","0","0"
"22799","0","0","0"
"22845","0","0","0"
"22867","0","0","0"
"22868","0","0","0"
"22906","0","0","0"
"22923","0","0","0"
"22927","0","0","0"
"22984","0","0","0"
"23023","0","0","0"
"23031","0","0","0"
"23046","0","0","0"
"23055","0","0","0"
"23061","0","0","0"
"23070","0","0","0"
"23091","0","0","0"
"23094","0","0","0"
"23142","0","0","0"
"23150","0","0","0"
"23166","0","0","0"
