"Step","env: HALFCHEETAH - lambdas/component_0","env: HALFCHEETAH - lambdas/component_0__MIN","env: HALFCHEETAH - lambdas/component_0__MAX"
"37000","0.9999383926391602","0.9999378323554993","0.9999393820762634"
"37100","0.9999383807182312","0.9999378323554993","0.9999393820762634"
"37200","0.9999383330345154","0.9999377727508545","0.9999393224716187"
"37300","0.9999383330345154","0.9999377727508545","0.9999393224716187"
"37400","0.9999382853507995","0.9999377131462097","0.9999393224716187"
"37500","0.9999382734298706","0.9999377131462097","0.9999392628669739"
"37600","0.9999382376670838","0.9999376535415649","0.9999392628669739"
"37700","0.9999382257461548","0.9999376535415649","0.9999392628669739"
"37800","0.999938178062439","0.9999375939369202","0.9999392032623291"
"37900","0.99993816614151","0.9999375939369202","0.9999392032623291"
"38000","0.9999381303787231","0.9999375939369202","0.9999391436576843"
"38100","0.9999381065368652","0.9999375343322754","0.9999391436576843"
"38200","0.9999380707740784","0.9999374747276306","0.9999391436576843"
"38300","0.9999380469322204","0.9999374747276306","0.9999390840530396"
"38400","0.9999380111694336","0.9999374151229858","0.9999390840530396"
"38500","0.9999379873275757","0.9999374151229858","0.9999390244483948"
"38600","0.9999379515647888","0.9999373555183411","0.9999390244483948"
"38700","0.999937903881073","0.9999373555183411","0.99993896484375"
"38800","0.999937891960144","0.9999372959136963","0.99993896484375"
"38900","0.9999378442764282","0.9999372363090515","0.99993896484375"
"39000","0.9999378323554993","0.9999372363090515","0.9999389052391052"
"39100","0.9999377846717834","0.9999371767044067","0.9999389052391052"
"39200","0.9999377727508545","0.9999371767044067","0.9999388456344604"
"39300","0.9999377250671386","0.999937117099762","0.9999388456344604"
"39400","0.9999376654624939","0.9999370574951172","0.9999387860298157"
"39500","0.9999376535415649","0.9999369978904724","0.9999387860298157"
"39600","0.9999376058578491","0.9999369978904724","0.9999387264251709"
"39700","0.9999375700950622","0.9999369382858276","0.9999387264251709"
"39800","0.9999375343322754","0.9999368786811829","0.9999386668205261"
"39900","0.9999374985694885","0.9999368786811829","0.9999386668205261"
"40000","0.9999374508857727","0.9999368190765381","0.9999386072158813"
"40100","0.9999374151229858","0.9999367594718933","0.9999385476112366"
"40200","0.99993736743927","0.9999366998672485","0.9999385476112366"
"40300","0.9999373316764831","0.9999366998672485","0.9999384880065918"
"40400","0.9999372839927674","0.9999366402626038","0.9999384880065918"
"40500","0.9999372363090515","0.999936580657959","0.999938428401947"
"40600","0.9999371886253356","0.9999365210533142","0.9999383687973022"
"40700","0.9999371528625488","0.9999364614486694","0.9999383687973022"
"40800","0.999937105178833","0.9999364614486694","0.9999383091926575"
"40900","0.9999370813369751","0.9999364018440247","0.9999383091926575"
"41000","0.9999370336532593","0.9999363422393799","0.9999382495880127"
"41100","0.9999369859695435","0.9999362826347351","0.9999382495880127"
"41200","0.9999369263648987","0.9999362230300903","0.9999381899833679"
"41300","0.999936866760254","0.9999361634254456","0.9999381303787231"
"41400","0.9999368071556092","0.9999361038208008","0.9999380707740784"
"41500","0.9999367952346802","0.9999361038208008","0.9999380707740784"
"41600","0.9999367356300354","0.999936044216156","0.9999380111694336"
"41700","0.9999366998672485","0.9999359846115112","0.9999380111694336"
"41800","0.9999366402626038","0.9999359250068665","0.9999379515647888"
"41900","0.999936580657959","0.9999358654022217","0.999937891960144"
"42000","0.999936556816101","0.9999358057975769","0.999937891960144"
"42100","0.9999364972114563","0.9999357461929321","0.9999378323554993"
"42200","0.9999364376068115","0.9999356865882874","0.9999377727508545"
"42300","0.9999363780021667","0.9999356269836426","0.9999377131462097"
"42400","0.999936330318451","0.9999355673789978","0.9999377131462097"
"42500","0.9999362707138062","0.999935507774353","0.9999376535415649"
"42600","0.9999362111091614","0.9999354481697083","0.9999375939369202"
"42700","0.9999361515045166","0.9999353885650635","0.9999375343322754"
"42800","0.9999361038208008","0.9999353289604187","0.9999375343322754"
"42900","0.999936044216156","0.9999352693557739","0.9999374747276306"
"43000","0.9999359965324401","0.9999352097511292","0.9999374151229858"
"43100","0.9999359250068665","0.9999351501464844","0.9999373555183411"
"43200","0.9999358773231506","0.9999350905418396","0.9999373555183411"
"43300","0.9999358057975769","0.99993497133255","0.9999372959136963"
"43400","0.9999357461929321","0.9999349117279053","0.9999372363090515"
"43500","0.9999356865882874","0.9999348521232605","0.9999371767044067"
"43600","0.9999356269836426","0.9999347925186157","0.999937117099762"
"43700","0.9999355673789978","0.999934732913971","0.9999370574951172"
"43800","0.999935507774353","0.9999346733093262","0.9999370574951172"
"43900","0.9999354481697083","0.9999346137046814","0.9999369978904724"
"44000","0.9999354004859924","0.9999345541000366","0.9999369382858276"
"44100","0.9999353170394898","0.9999344348907471","0.9999368786811829"
"44200","0.999935257434845","0.9999343752861023","0.9999368190765381"
"44300","0.9999351978302002","0.9999343156814575","0.9999367594718933"
"44400","0.9999351263046264","0.9999342560768127","0.9999366998672485"
"44500","0.9999350666999817","0.9999341368675232","0.9999366998672485"
"44600","0.9999350070953369","0.9999340772628784","0.9999366402626038"
"44700","0.9999349355697632","0.9999340176582336","0.999936580657959"
"44800","0.9999348759651184","0.9999339580535889","0.9999365210533142"
"44900","0.9999348163604737","0.9999338984489441","0.9999364614486694"
"45000","0.999934732913971","0.9999337792396545","0.9999364018440247"
"45100","0.9999346733093262","0.9999337196350098","0.9999363422393799"
"45200","0.9999346137046814","0.999933660030365","0.9999362826347351"
"45300","0.9999345183372498","0.9999335408210754","0.9999362230300903"
"45400","0.999934458732605","0.9999334812164307","0.9999361634254456"
"45500","0.9999343872070312","0.9999334216117859","0.9999361038208008"
"45600","0.9999343156814575","0.9999333024024963","0.999936044216156"
"45700","0.9999342441558838","0.9999332427978516","0.9999359846115112"
"45800","0.9999341845512391","0.9999331831932068","0.9999359250068665"
"45900","0.9999341130256653","0.9999330639839172","0.9999358654022217"
"46000","0.9999340534210205","0.9999330043792725","0.9999358057975769"
"46100","0.9999339580535889","0.9999328851699829","0.9999357461929321"
"46200","0.9999338865280152","0.9999328255653381","0.9999356865882874"
"46300","0.9999338030815125","0.9999327063560486","0.9999356269836426"
"46400","0.9999337434768677","0.9999326467514038","0.9999355673789978"
"46500","0.9999336481094361","0.999932587146759","0.9999354481697083"
"46600","0.9999335765838623","0.9999324679374695","0.9999353885650635"
"46700","0.9999335050582886","0.9999324083328247","0.9999353289604187"
"46800","0.9999334216117859","0.9999322891235352","0.9999352693557739"
"46900","0.9999333500862122","0.9999322295188904","0.9999352097511292"
"47000","0.9999332785606384","0.9999321103096008","0.9999351501464844"
"47100","0.9999331951141357","0.999932050704956","0.9999350905418396"
"47200","0.9998715281486511","0.9996252059936523","0.9999350309371948"
"47300","0.9996725082397461","0.9986304640769958","0.9999349117279053"
"47400","0.9994751334190368","0.9976438879966736","0.9999348521232605"
"47500","0.9992793083190918","0.9966651201248169","0.9999347925186157"
"47600","0.9990599155426025","0.9956942796707153","0.9999329447746277"
"47700","0.998660147190094","0.9947312474250793","0.9999328851699829"
"47800","0.9981431126594543","0.9937761425971985","0.9999316930770874"
"47900","0.9975674629211426","0.992828905582428","0.9999315738677979"
"48000","0.9969939827919007","0.9918853044509888","0.9999315142631531"
"48100","0.9962989807128906","0.9907463192939758","0.9999313950538635"
"48200","0.9956096053123474","0.9896165132522583","0.9999313354492188"
"48300","0.9949257612228394","0.9884957075119019","0.9999312162399292"
"48400","0.9942475080490112","0.9873839020729065","0.9999310970306396"
"48500","0.9935747861862183","0.986281156539917","0.9999310374259949"
"48600","0.9929075717926026","0.9851874113082886","0.9999309182167053"
"48700","0.9922458171844483","0.9841025471687317","0.9999308586120605"
"48800","0.9915745854377747","0.9830265045166016","0.9999304413795471"
"48900","0.990735936164856","0.981959342956543","0.9999303817749023"
"49000","0.9899005889892578","0.980896532535553","0.9999302625656128"
"49100","0.9889016151428223","0.9796271920204163","0.9999301433563232"
"49200","0.9879106283187866","0.9783680438995361","0.9999300241470337"
"49300","0.9869276285171509","0.9771190881729126","0.9999299645423889"
"49400","0.9858067393302917","0.9758800864219666","0.9992010593414307"
"49500","0.9846274733543396","0.9746512174606323","0.998140811920166"
"49600","0.9834576487541199","0.973432183265686","0.997088611125946"
"49700","0.9822972893714905","0.9722232222557068","0.9960446953773499"
"49800","0.9811462879180908","0.9710240960121155","0.9950088858604431"
"49900","0.980004632472992","0.9698347449302673","0.9939811825752258"
"50000","0.9788679242134094","0.9686508178710938","0.9929571747779846"
"50100","0.977526593208313","0.9672573208808899","0.9917282462120056"
"50200","0.9761959552764893","0.9658751487731934","0.9905086159706116"
"50300","0.9748759746551514","0.964504063129425","0.989298403263092"
"50400","0.9735664963722229","0.9631439447402954","0.9880973696708679"
"50500","0.9722675919532776","0.961794912815094","0.9869056344032288"
"50600","0.9709791779518128","0.9604568481445312","0.9857231378555298"
"50700","0.9697012662887573","0.959129810333252","0.9845499396324158"
"50800","0.968433678150177","0.9578135013580322","0.9833858609199524"
"50900","0.9671764850616456","0.9565081000328064","0.9822308421134949"
"51000","0.9659252285957336","0.955208957195282","0.9810805320739746"
"51100","0.9644731879234314","0.9536990523338318","0.9797276258468628"
"51200","0.9630327820777893","0.9522013068199158","0.9783850908279419"
"51300","0.9616039991378784","0.9507157206535339","0.9770530462265015"
"51400","0.960186779499054","0.9492421746253967","0.9757311940193176"
"51500","0.958781111240387","0.9477806687355042","0.9744198322296143"
"51600","0.9573869109153748","0.9463312029838562","0.9731186628341675"
"51700","0.9560040593147278","0.944893479347229","0.9718278050422668"
"51800","0.9546326160430908","0.9434676766395569","0.9705471396446228"
"51900","0.9532724618911743","0.9420536756515503","0.9692766666412354"
"52000","0.9519191384315491","0.9406468272209167","0.968012273311615"
"52100","0.9503644943237305","0.939031720161438","0.9665631651878357"
"52200","0.9488225102424621","0.9374298453330994","0.9651255011558533"
"52300","0.9472930788993835","0.9358410835266113","0.9636990427970886"
"52400","0.9457761645317078","0.9342653155326843","0.9622839689254761"
"52500","0.9442716836929321","0.9327026605606079","0.9608799815177917"
"52600","0.9427795648574829","0.9311527609825134","0.95948725938797"
"52700","0.9412998676300048","0.9296157956123352","0.958105742931366"
"52800","0.9398324370384217","0.9280916452407837","0.9567351937294006"
"52900","0.9383772015571594","0.9265801310539246","0.9553759098052979"
"53000","0.9369297981262207","0.9250410795211792","0.9540231227874756"
"53100","0.9352818369865418","0.9232430458068848","0.9524739980697632"
"53200","0.9336474418640137","0.9214603900909424","0.9509370923042297"
"53300","0.9320266008377075","0.9196926355361938","0.9494125247001648"
"53400","0.9304191827774048","0.9179400205612183","0.9479000568389893"
"53500","0.9288251280784607","0.9162022471427917","0.9463999271392822"
"53600","0.9272444009780884","0.9144794344902039","0.9449118375778198"
"53700","0.9256769180297851","0.9127713441848755","0.9434358477592468"
"53800","0.9241226792335511","0.9110778570175171","0.9419718980789185"
"53900","0.9225815057754516","0.9093990921974182","0.9405197501182556"
"54000","0.9210489988327026","0.9077301621437073","0.9390753507614136"
"54100","0.9193137049674988","0.9058430194854736","0.9374275803565979"
"54200","0.9175928711891175","0.9039716720581055","0.9357929825782776"
"54300","0.9158865928649902","0.9021167159080505","0.9341717958450317"
"54400","0.9141945004463196","0.9002772569656372","0.9325637221336365"
"54500","0.9125168442726135","0.8984540700912476","0.9309686422348022"
"54600","0.9108533263206482","0.8966465592384338","0.929386556148529"
"54700","0.9092039346694947","0.8948548436164856","0.9278175830841064"
"54800","0.9075685739517212","0.893078625202179","0.9262614846229553"
"54900","0.9059471368789673","0.8913177847862244","0.9247182011604309"
"55000","0.9043355822563172","0.8895683288574219","0.9231836795806885"
"55100","0.9025330066680908","0.8876150846481323","0.9214538931846619"
"55200","0.9007457971572876","0.8856791853904724","0.9197382926940918"
"55300","0.8989738821983337","0.8837597966194153","0.9180370569229126"
"55400","0.897217059135437","0.8818575143814087","0.9163498282432556"
"55500","0.8954752564430237","0.8799715638160706","0.9146764874458313"
"55600","0.8937485456466675","0.8781024813652039","0.9130171537399292"
"55700","0.8920366525650024","0.8762497305870056","0.9113715887069702"
"55800","0.8903395891189575","0.8744136095046997","0.9097398519515991"
"55900","0.8886571764945984","0.872593343257904","0.9081217646598816"
"56000","0.8869853496551514","0.8707852363586426","0.9065131545066833"
"56100","0.885123872756958","0.8687722682952881","0.9047098755836487"
"56200","0.8832784295082092","0.8667773008346558","0.902921736240387"
"56300","0.8814490795135498","0.8647999167442322","0.9011484980583191"
"56400","0.8796354413032532","0.8628399968147278","0.899389922618866"
"56500","0.8778376579284668","0.8608977794647217","0.8976462483406067"
"56600","0.8760555267333985","0.8589725494384766","0.8959174156188965"
"56700","0.8742890596389771","0.857064962387085","0.8942034244537354"
"56800","0.872538161277771","0.8551743030548096","0.8925039172172546"
"56900","0.8708027005195618","0.8533008694648743","0.8908190727233887"
"57000","0.8690783739089966","0.8514397144317627","0.8891443610191345"
"57100","0.8671698093414306","0.8493862152099609","0.8872796297073364"
"57200","0.8652780294418335","0.8473510146141052","0.8854309320449829"
"57300","0.8634029269218445","0.8453340530395508","0.8835981488227844"
